SMILES,novelty,dist_to_D_A,dist_to_D_B,max_sim_D_A,max_sim_D_B,synthetic_accessibility,pred_group_A_absorption_max_nm,unc_group_A_absorption_max_nm,pred_group_A_log_extinction,unc_group_A_log_extinction,pred_group_A_photochem_efficiency,unc_group_A_photochem_efficiency,pred_group_B_log_kp,unc_group_B_log_kp,pred_group_B_skin_sensitization,unc_group_B_skin_sensitization,pred_group_B_skin_irritation,unc_group_B_skin_irritation,pass_surrogate_A,pass_surrogate_B,pass_surrogate_all,oracle_group_A_absorption_max_nm,oracle_group_A_log_extinction,oracle_group_A_photochem_efficiency,oracle_group_B_log_kp,oracle_group_B_skin_sensitization,oracle_group_B_skin_irritation,pass_oracle_A,pass_oracle_B,pass_oracle_all,pass_constraints,method_id,seed
CCCC(COC(=O)c1ccc(O)cc1)CC(C)=O,1,0.5641,0.1944,0.4359,0.8056,2.5761,278.8768,43.2158,3.5654,0.8614,0.3209,0.2714,-6.7406,1.1406,0.5085,0.3773,0.0972,0.2321,0,0,0,307.7356,3.9211,0.3595,-6.6164,0.2816,0.0076,1,1,1,1,B0,42
CCNc1nc(C=Cc2cc(/C=C/c3ccc4c(c3)c3ccccc3n4CC)ncn2)nc(Nc2ccccc2N(C)C)n1,1,0.3934,0.6914,0.6066,0.3086,3.2197,397.6867,59.1339,4.5398,0.2908,0.359,0.2235,-6.9213,1.4574,0.4791,0.4076,0.1649,0.2827,1,1,1,423.7562,4.6419,0.3687,-8.6318,0.1233,0.0125,0,1,0,0,B0,42
CC(C)CCOC(=O)c1ccccc1,0,0.5,0.0,0.5,1.0,1.475,277.1494,39.6771,3.467,0.5333,0.1242,0.1496,-5.501,1.2557,0.1598,0.234,0.1559,0.253,0,1,0,270.6709,3.3193,0.2659,-4.6698,0.0204,0.0241,0,0,0,0,B0,42
O=C(O)CCCC(=O)NCCO,1,0.7027,0.6296,0.2973,0.3704,1.8226,393.1549,123.0223,2.9254,1.0746,0.1533,0.1692,-7.0459,0.6458,0.6673,0.3465,0.5354,0.3178,0,0,0,387.9034,2.9124,0.2328,-7.0406,0.2382,0.8303,0,0,0,0,B0,42
CCN(c1ccc2c(/C=C/C=C3\N(CCCCCC(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)cc(C(C)(C)C)[o+]c2c1)C(C)(C)C,1,0.122,0.7826,0.878,0.2174,3.8927,637.1719,35.6197,4.2891,0.4518,0.3317,0.2364,-6.3581,1.1762,0.3412,0.3859,0.1917,0.2909,0,1,0,622.5182,4.4792,0.2429,-6.0522,0.0959,0.0068,0,1,0,0,B0,42
CCOC(=O)C([N+]#N)=C([O-])C=CCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccccc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O,1,0.3976,0.6145,0.6024,0.3855,3.4512,457.363,89.2981,4.4608,0.3195,0.1856,0.1637,-6.6095,1.3376,0.4354,0.4038,0.0978,0.1845,0,1,0,459.059,4.2714,0.3169,-7.0119,0.0682,0.0037,0,1,0,0,B0,42
COc1ccc2c3c(c4ccc(-c5ccc(O)c(C(=O)c6cnn(-c7ccccc7)c6)c5)cc4c2c1)-c1ccccc1C31c2ccccc2-c2ccccc21,1,0.4769,0.3788,0.5231,0.6212,3.5592,516.9024,123.9002,4.2253,0.4478,0.3405,0.262,-6.7585,1.1215,0.4726,0.3934,0.1019,0.2043,0,1,0,459.9703,4.0407,0.3398,-6.6905,0.0543,0.0056,0,1,0,0,B0,42
C=C(C)c1ccc(/C=c2\sc(=C(C#N)C#N)[nH]c2=O)s1,1,0.6596,0.8036,0.3404,0.1964,3.6833,363.8675,43.4146,4.2499,0.3462,0.2787,0.261,-7.2998,0.8758,0.7006,0.3092,0.2096,0.2848,1,0,0,388.2831,4.1805,0.1632,-7.6283,0.6763,0.0163,0,0,0,0,B0,42
CCCCOC[C@H]1O[C@@H](n2cnc3c(=O)nc[nH]c32)[C@H](O)[C@@H]1O,1,0.4545,0.6712,0.5455,0.3288,3.7673,322.8782,93.3044,3.6439,0.8965,0.3806,0.3252,-7.2731,0.9093,0.4486,0.3989,0.1996,0.2794,0,1,0,332.9321,4.0173,0.3266,-6.9173,0.1597,0.1182,1,1,1,1,B0,42
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)C(c2cc(C)cc(C(C)(C)C)c2O)c2cc(C)cc(C(C)(C)C)c2O)c(C)c1,1,0.7105,0.4167,0.2895,0.5833,3.217,349.847,87.4539,4.3032,0.4257,0.3577,0.2143,-7.0144,1.3085,0.4218,0.3902,0.4291,0.379,1,1,1,391.8041,4.4231,0.4536,-7.2487,0.0405,0.009,1,1,1,1,B0,42
CCCCCCc1cc(-c2cc(CCCCCC)c(-c3ccc(/C=C(\C#N)C(=O)O)s3)s2)sc1C(=O)c1c2ccccc2cc2ccccc12,1,0.2769,0.7015,0.7231,0.2985,3.3687,470.0597,30.9304,4.5091,0.219,0.188,0.184,-6.5808,1.2772,0.3187,0.349,0.1026,0.1935,0,1,0,466.835,4.5779,0.0664,-6.7424,0.0389,0.0037,0,1,0,0,B0,42
CCCCCCC1CN(C(=O)OC(C)(C)C)C1,1,0.7636,0.5111,0.2364,0.4889,2.0532,366.7487,120.7251,3.1365,0.8447,0.1868,0.2197,-6.5691,1.2709,0.1947,0.2867,0.2058,0.2776,0,1,0,349.6765,2.768,0.1284,-6.2005,0.0223,0.0402,0,1,0,0,B0,42
CCCCCc1ccc(O)c(C(=O)c2ccc(Cl)cc2-c2ccc(C(C)(C)C)cc2)c1,1,0.6866,0.3396,0.3134,0.6604,2.1976,334.0339,50.0478,4.2943,0.3954,0.4354,0.2697,-6.5169,1.0688,0.5996,0.3621,0.259,0.3522,1,0,0,330.668,4.2566,0.2983,-5.9825,0.1198,0.0034,1,1,1,1,B0,42
COC(=O)c1cc(O)ccc1C,0,0.5172,0.0,0.4828,1.0,1.6913,282.146,26.1069,3.8547,0.4409,0.1746,0.1236,-5.4712,0.5432,0.5946,0.3255,0.2517,0.2816,0,0,0,289.5473,3.8226,0.1829,-5.305,0.4335,0.0163,0,1,0,0,B0,42
OCCNc1cc(Br)cc(Br)c1O,1,0.7143,0.6579,0.2857,0.3421,2.428,268.3015,30.1751,3.9402,0.4345,0.2658,0.2524,-7.1956,1.4334,0.6433,0.3449,0.4308,0.3401,0,0,0,283.739,3.7472,0.1494,-5.9678,0.6532,0.8584,0,0,0,0,B0,42
CC1(C)C(=CC=CC=Cc2ccccc2)N(CCCCCC(=O)O)c2ccccc21,1,0.3676,0.6491,0.6324,0.3509,2.5118,514.3016,105.5444,4.4875,0.3677,0.2046,0.1565,-6.6647,1.0714,0.3217,0.3431,0.1722,0.281,0,1,0,549.1136,4.5917,0.2627,-6.4035,0.1278,0.0046,0,1,0,0,B0,42
COC(=O)c1ccc2c3ccc(COC(=O)Nc4ccccc4Oc4cc(Cl)cc(Cl)c4)c4cccc(c5cccc1c52)c43,1,0.6364,0.5882,0.3636,0.4118,2.7117,495.5379,120.5781,4.2997,0.4281,0.5142,0.3059,-6.9882,1.3049,0.5055,0.4022,0.0769,0.1594,0,0,0,483.6668,4.2292,0.502,-6.9968,0.029,0.0035,0,1,0,0,B0,42
CCN(CC)c1ccc(N=NCOc2cc(O)c(-c3nc(-c4ccc(C)cc4C)nc(-c4ccc(C)cc4C)n3)cc2C(C)(C)C)cc1,1,0.675,0.6143,0.325,0.3857,3.3306,469.5177,96.7611,4.4564,0.7342,0.38,0.278,-6.8378,1.3758,0.3625,0.3918,0.2239,0.3221,0,1,0,490.6522,4.613,0.3035,-7.0914,0.0306,0.0048,0,1,0,0,B0,42
CCCCN(c1ccc(Cl)c(C(=O)OC)c1)c1ccc2c(c1)oc1c3oc(-c4ccnc(-c5cc(C(=O)O)ccn5)c4)nc3c3[nH]c4ccccc4c3c21,1,0.2386,0.7333,0.7614,0.2667,3.5122,467.4119,100.4039,4.2901,0.702,0.3223,0.2293,-6.5139,1.3668,0.4594,0.4048,0.0949,0.1852,0,1,0,464.9732,4.7362,0.3344,-6.4203,0.0282,0.0038,0,1,0,0,B0,42
COCC[N+]1=C(/C=C/C=C2/N(CCCCC(=O)c3cc(C(C)(C)C)c(O)cc3O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,1,0.2588,0.7614,0.7412,0.2386,3.9379,587.7863,70.2066,5.3152,0.208,0.2037,0.1739,-7.0119,1.4274,0.3655,0.3877,0.1592,0.2936,0,1,0,608.2056,5.1607,0.1242,-6.4387,0.0714,0.0065,0,1,0,0,B0,42
COc1cc(C=Cc2ccncc2)c(C(=O)C(=Cc2ccccc2)C(=O)[O-])cc1C=Cc1nc2ccccc2s1,1,0.3226,0.6714,0.6774,0.3286,3.1529,394.6371,52.5639,4.299,0.6762,0.4388,0.2179,-6.7842,1.2036,0.4668,0.3794,0.1391,0.2493,1,1,1,418.8665,4.0429,0.2436,-6.6167,0.0701,0.0053,0,1,0,0,B0,42
CCN(c1ccc(/N=N/c2ccc(N3CCOCC3)cc2)cc1)c1cc(C)cc(C)c1O,1,0.4286,0.6716,0.5714,0.3284,2.72,445.4292,75.6216,4.7235,0.301,0.3807,0.3007,-6.6757,1.2479,0.4368,0.3959,0.2445,0.3172,0,1,0,439.9476,4.6935,0.3526,-7.1834,0.0565,0.0041,0,1,0,0,B0,42
CC1=C(CC[C@H]2CCC[C@H](C)N2)C(C)=[N+]2C1=Cc1cccn1[B-]2(F)F,1,0.4182,0.6724,0.5818,0.3276,4.9034,539.3978,43.4296,4.2046,0.7249,0.4105,0.2858,-7.0823,1.2262,0.47,0.3842,0.3609,0.348,0,1,0,536.897,4.4995,0.5418,-8.3417,0.3833,0.0258,0,1,0,0,B0,42
NC(=O)C1(c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)c(-c3ccccc3)c2)CCN(Cc2ccccc2)CC1,1,0.5946,0.6286,0.4054,0.3714,2.9164,374.5405,60.0485,4.2924,0.4765,0.5374,0.2878,-6.8121,1.3229,0.4176,0.4057,0.1465,0.2288,1,1,1,341.3026,4.3559,0.3817,-6.3517,0.0384,0.0053,1,1,1,1,B0,42
O=C(O)C=Cc1ccc(Br)cc1,1,0.4516,0.3462,0.5484,0.6538,1.7461,268.9021,27.7043,4.0019,0.3929,0.0641,0.1113,-5.6381,0.8727,0.6012,0.3336,0.4011,0.3466,0,0,0,296.8676,3.7751,0.0816,-5.5781,0.4608,0.2275,0,1,0,0,B0,42
CCCCCCCCCCCCOCOC(=O)CC(C)=O,1,0.7241,0.4839,0.2759,0.5161,2.2109,358.3465,121.2075,2.7986,0.9335,0.1935,0.2135,-6.6806,1.3443,0.3278,0.3659,0.1522,0.2333,0,1,0,356.558,2.8476,0.234,-6.6373,0.038,0.0102,0,1,0,0,B0,42
CC(C)(C)n1c(-n2nnc3cc(Cl)ccc32)c(C#N)c2c(N)ncnc21,1,0.4225,0.7273,0.5775,0.2727,3.0459,319.2774,42.1535,4.1219,0.3625,0.2063,0.214,-7.0532,0.9628,0.6503,0.3517,0.3319,0.3553,0,0,0,345.9089,4.1951,0.2612,-7.4175,0.3153,0.0286,1,1,1,1,B0,42
CCn1c2ccccc2c2cc(C3CCNCC3)ccc21,1,0.4722,0.6,0.5278,0.4,2.1365,323.5251,43.5,4.1186,0.2868,0.3053,0.2301,-7.0222,1.36,0.4335,0.3535,0.3253,0.3454,1,1,1,319.1012,4.1475,0.369,-8.7828,0.1146,0.0459,1,1,1,1,B0,42
C=CCOc1cc(O)c(-c2ccc(F)s2)c(OCC(CC)CCCC)c1,1,0.6702,0.5915,0.3298,0.4085,3.2845,483.8138,70.172,3.9193,0.5518,0.2556,0.2327,-7.0392,1.2342,0.4008,0.3751,0.1305,0.2465,0,1,0,445.0837,3.9644,0.3365,-7.0249,0.0795,0.0059,0,1,0,0,B0,42
O=C(O)C1=CC=C2C=CC3=CC=CC4=CC=C1C2C34,1,0.6727,0.7917,0.3273,0.2083,4.4783,377.7367,121.731,3.5812,1.129,0.3192,0.2081,-6.5968,1.1079,0.4601,0.3587,0.4164,0.344,0,1,0,443.2534,3.6186,0.2916,-6.7077,0.1607,0.0274,0,1,0,0,B0,42
CCCCCCCCc1ccccc1,1,0.5172,0.1905,0.4828,0.8095,1.308,276.454,52.9119,3.9284,0.5941,0.2194,0.2402,-4.7184,1.3561,0.2228,0.229,0.3977,0.2983,0,0,0,274.2744,3.8892,0.2264,-3.7998,0.0383,0.6257,0,0,0,0,B0,42
CO[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)C(C)(C)C,1,0.3871,0.6341,0.6129,0.3659,2.5681,354.0892,46.9635,4.39,0.2436,0.4155,0.1924,-7.3323,1.3285,0.3922,0.3624,0.298,0.3404,1,1,1,345.2463,4.3767,0.3388,-7.6637,0.0282,0.0547,1,1,1,1,B0,42
COC1=CC(c2ccccc2)=C/C1=C\c1ccc(C(F)(F)F)cc1,1,0.2821,0.717,0.7179,0.283,2.4238,404.2722,41.7671,4.0068,0.5492,0.1538,0.2041,-7.018,1.2353,0.4841,0.3708,0.2586,0.3325,0,1,0,399.0124,3.7747,0.1984,-6.8083,0.0639,0.0565,0,1,0,0,B0,42
c1ccc2c(c1)c1ccccc1n2-c1ccc(C2CCNCC2)cc1,1,0.5641,0.5854,0.4359,0.4146,2.0058,347.5076,20.8511,4.2152,0.1535,0.3054,0.1994,-7.2913,1.2597,0.4667,0.367,0.3448,0.3339,1,1,1,325.5507,4.1149,0.367,-7.954,0.1769,0.0355,1,1,1,1,B0,42
Oc1ccc(-c2c3ccccc3cc3ccccc23)cc1,1,0.4375,0.4242,0.5625,0.5758,1.6959,350.6629,30.6895,4.099,0.3208,0.2968,0.2066,-7.1218,1.3487,0.5117,0.3672,0.283,0.3286,1,0,0,356.6174,3.9026,0.2849,-7.5605,0.2382,0.01,1,1,1,1,B0,42
CC(C)(C)c1ccc2c(c1)c1nc(C#N)ncc1c1c3ccccc3sc21,1,0.3519,0.7321,0.6481,0.2679,2.7656,373.9141,41.3471,4.1935,0.3379,0.3478,0.1797,-7.4342,1.3996,0.5339,0.367,0.2608,0.3153,1,0,0,403.0506,4.1795,0.3038,-7.5224,0.1301,0.0091,1,1,1,1,B0,42
O=[N+]([O-])c1cc(CCCl)cc(O)c1O,1,0.4706,0.561,0.5294,0.439,2.4598,316.3797,35.7138,3.8647,0.4472,0.2065,0.2415,-6.0084,0.8157,0.7766,0.2565,0.4209,0.369,0,0,0,281.4734,3.7414,0.2223,-5.3665,0.6507,0.0397,0,0,0,0,B0,42
CC(C(=O)OCc1ccc2c(c1)C(I)=C(CCO)N(C)S2(=O)=O)c1ccc(-c2ccccc2)c(F)c1,1,0.5147,0.5625,0.4853,0.4375,3.4259,345.0898,100.503,4.2516,0.5218,0.3692,0.2464,-6.3183,0.7405,0.4227,0.3843,0.1155,0.263,1,1,1,372.547,4.1914,0.353,-6.1344,0.0448,0.0055,1,1,1,1,B0,42
CCCc1ccc(N(C)C)cc1,1,0.4286,0.5185,0.5714,0.4815,1.5327,301.4078,53.9821,3.702,0.5658,0.2332,0.1959,-4.9998,0.7926,0.4329,0.3084,0.5629,0.304,0,0,0,326.3024,3.592,0.1824,-5.047,0.1419,0.9712,0,0,0,0,B0,42
N#CN(c1ccc(/C=C2\SC(=O)NC2=O)cc1)c1ccc(/C=C2\SC(=O)NC2=O)cc1,1,0.3846,0.6923,0.6154,0.3077,3.0815,427.949,45.4528,4.4931,0.2801,0.1481,0.1546,-7.1376,1.115,0.5519,0.4003,0.2002,0.2782,0,0,0,421.1304,4.5757,0.1826,-7.5366,0.0518,0.0169,0,1,0,0,B0,42
CC(=O)CCCCOc1cccc(O)c1C(C)=O,1,0.6727,0.3077,0.3273,0.6923,2.065,297.3847,40.1819,3.7066,0.5011,0.2565,0.2299,-6.6329,0.9042,0.3238,0.3555,0.2148,0.291,0,1,0,280.8788,3.7243,0.2396,-6.9038,0.044,0.0106,0,1,0,0,B0,42
COC(=O)C=CC(C=CC(=O)OC)=C(c1ccccc1)N1c2ccccc2Sc2cc(/C=C(\C#N)C(=O)O)ccc21,1,0.4242,0.6,0.5758,0.4,3.3132,457.5265,55.1843,4.4046,0.4767,0.2186,0.1976,-6.6137,1.2062,0.5155,0.4034,0.1141,0.2262,0,0,0,440.4401,4.5317,0.1673,-6.4931,0.1384,0.006,0,1,0,0,B0,42
C=C(C)C(=O)OCC(C#N)=Cc1ccc2ccc3cccc4ccc1c2c34,1,0.5882,0.5246,0.4118,0.4754,2.7616,407.9828,70.8558,4.211,0.3702,0.1611,0.1579,-6.8578,1.2046,0.5047,0.3881,0.1356,0.2244,0,0,0,395.2255,4.3333,0.2661,-6.8641,0.0919,0.0036,1,1,1,1,B0,42
Cc1c(C(C)(C)C)cc(C(C)(C)C)c(O)c1C,0,0.56,0.0,0.44,1.0,2.3525,273.869,55.7755,3.7612,0.6597,0.2279,0.2054,-6.2893,1.2663,0.2827,0.3104,0.5684,0.344,0,0,0,281.8518,3.7097,0.192,-6.0853,0.0206,0.5921,0,0,0,0,B0,42
CCCCc1ccccc1OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1,0.784,0.2468,0.216,0.7532,4.7142,395.0951,141.699,4.1506,0.6686,0.4508,0.2503,-6.6046,1.0205,0.2888,0.3598,0.1284,0.2323,1,1,1,476.1166,4.1578,0.4671,-6.6662,0.1697,0.0049,0,1,0,0,B0,42
CCOc1cc(O)c(O)c(C=C(C)C)c1,1,0.6852,0.5,0.3148,0.5,2.4368,297.0624,33.8195,3.9285,0.4379,0.1895,0.1795,-5.6285,0.9198,0.4746,0.3623,0.2938,0.3095,0,1,0,307.1203,3.8178,0.1242,-4.9608,0.0272,0.0367,0,0,0,0,B0,42
CNc1cc2nc3cc(Br)c(Br)cc3nc2cc1C(=O)C1CCNCC1,1,0.5,0.6275,0.5,0.3725,2.8633,335.3608,64.2188,4.2841,0.2911,0.2608,0.2282,-7.3325,1.2042,0.4784,0.4132,0.2608,0.3149,1,1,1,366.354,4.2662,0.4327,-7.742,0.1709,0.0089,1,1,1,1,B0,42
CCCCc1sc(OCC(CC)CCCC)c2nc(C)c(C)nc12,1,0.7162,0.6596,0.2838,0.3404,3.4587,334.9356,60.4391,3.5853,0.7381,0.3867,0.3134,-7.359,1.4247,0.4293,0.396,0.1866,0.2786,0,1,0,361.1026,3.5727,0.2568,-8.435,0.2981,0.0104,0,1,0,0,B0,42
CCCCC(CC)COc1ccc(OC(=O)N2CCCC3(CNCCO3)C2)cc1,1,0.6737,0.5075,0.3263,0.4925,3.8457,310.782,46.0753,4.0245,0.627,0.3452,0.2531,-7.4897,1.6886,0.4059,0.399,0.0706,0.1707,1,1,1,365.8074,3.9109,0.3338,-8.3131,0.1539,0.007,1,1,1,1,B0,42
CC(C)N1CCCCC1Cc1cc2ccsc2c(=O)o1,1,0.5862,0.6552,0.4138,0.3448,3.3605,293.4177,47.0538,3.9645,0.5685,0.2379,0.2434,-7.3503,1.3453,0.4481,0.3837,0.2697,0.3059,0,1,0,293.4138,4.098,0.1721,-7.4468,0.4696,0.1059,0,1,0,0,B0,42
Oc1cccc(-c2ccccc2)c1,1,0.5238,0.3846,0.4762,0.6154,1.318,278.661,21.6248,4.02,0.3117,0.2285,0.1571,-5.1803,1.1563,0.5493,0.3251,0.3754,0.3205,0,0,0,282.8129,3.8831,0.213,-5.792,0.3412,0.0187,0,1,0,0,B0,42
CCCc1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)c3)cc2)cc1,1,0.1892,0.7045,0.8108,0.2955,3.4199,468.3988,59.0003,4.5425,0.2301,0.3236,0.2583,-6.9299,1.2418,0.4833,0.3475,0.263,0.3062,0,1,0,499.91,4.6349,0.1362,-6.9631,0.0797,0.0378,0,1,0,0,B0,42
CCCCn1c(-c2ccc(C(=O)C=CC(C=CC(=O)OC)=C(c3ccccc3)c3ccccc3)cc2C(C)(C)C)nc2ccccc21,1,0.5942,0.5714,0.4058,0.4286,3.0743,374.0476,42.0609,4.4707,0.1956,0.2673,0.2034,-7.1136,1.6909,0.3864,0.4075,0.1159,0.2446,1,1,1,406.5231,4.551,0.239,-8.4331,0.1384,0.0032,0,1,0,0,B0,42
