SMILES,method_id,pred_A_wavelength,pred_A_delta_h,pred_A_pss,pred_A_log_k,synthetic_accessibility,pred_B_wavelength,pred_B_log_eps,potts_guy_log_kp,molecular_weight,log_p,uncertainty_AD,novelty,dist_to_DA,dist_to_DB,pass_group_A,pass_group_B,pass_ad,pass_constraints
CC1=C(C2=CC3C=CC2C3)C2CC1C=N2,B0_baseline,261.65,75.0,75.0,-4.0,6.42,293.18,3.86,-1.84,197.3,2.91,0.757,True,0.644,0.87,False,False,True,False
CC1=CC2N=CC1C2c1ccsc1,B0_baseline,330.15,67.3,73.7,-4.0,5.33,305.93,3.85,-1.82,189.3,2.86,0.811,True,0.823,0.8,False,False,False,False
CCc1ccsc1C1=C(C2C3C=CC2C(S#N)=C3C#N)C2C=C(C#N)C1C2,B0_baseline,376.14,76.16,75.6,-4.0,6.49,361.54,3.96,-1.1,387.5,5.59,0.769,True,0.726,0.812,False,False,False,False
N#CC1=C(C23CC(C=C2c2ccccc2)C(S#N)=C3C#N)C2C=CC1C2,B0_baseline,361.03,63.98,75.0,-4.03,5.95,347.68,4.07,-1.23,353.5,5.11,0.672,True,0.569,0.776,False,False,True,False
COC(=O)C12C3CC4C3C1(CN(C)c1ccc(N=Nc3ccccc3)cc1)C42,B0_baseline,402.17,49.93,74.5,-4.2,4.48,369.52,3.83,-1.72,373.5,4.59,0.702,True,0.643,0.762,True,False,True,False
COC(=O)C1=C(c2ccccc2N=Nc2ccc(N(C)C)c(-c3ccccc3C3=CC4C=CC3C4Cl)c2)C2C=CC1C2,B0_baseline,387.13,51.96,74.4,-4.16,5.8,347.8,4.46,0.03,574.1,8.77,0.711,True,0.629,0.794,False,False,True,False
O=C(/C=C/c1ccc(-c2ccccc2C(=O)CC(=O)c2ccccc2)cc1)Oc1ccc(C2=CC3C=CC2C3)s1,B0_baseline,369.68,71.11,79.1,-4.04,4.48,364.03,4.49,-0.27,542.7,8.08,0.736,True,0.728,0.743,True,False,False,False
CN(C)C12C=CC(C1)C(c1cc(C#N)cs1)=C2,B0_baseline,306.49,69.77,75.0,-4.0,5.36,332.38,4.11,-2.12,242.3,2.89,0.744,True,0.729,0.76,False,False,False,False
C1=CC2OC1C=C2c1cccc(C23C4C5SC4C2C53)c1,B0_baseline,294.41,66.95,75.0,-4.0,6.12,324.91,4.01,-2.26,278.4,3.02,0.796,True,0.767,0.825,False,False,False,False
CCOC12C=CC(C1)C(C1C3C=C(c4ccc(-c5ccc(C(=O)c6ccccc6)cc5)cc4)C1C(C#N)=C3S#N)=C2c1sccc1C(C)(C)C,B0_baseline,400.11,58.23,73.1,-4.0,6.05,347.76,4.35,0.9,690.9,11.01,0.772,True,0.752,0.792,False,False,False,False
N#CC1=C(S#N)C2C=CC1C2C1=C(c2cncs2)C2C=CC1C2c1ccc(C(=O)c2ccccc2)cc1,B0_baseline,400.98,66.87,73.1,-4.15,5.92,378.79,4.33,-0.77,515.7,7.15,0.757,True,0.763,0.75,False,False,False,False
O=C(CC(=O)c1ccccc1-c1cc(N=Nc2cccc(C3=CC4CC3C=C4c3cccc(C(F)(F)F)c3)c2)ccc1O)c1ccccc1,B0_baseline,396.38,45.61,77.4,-4.21,4.69,359.05,4.18,1.16,654.7,11.07,0.709,True,0.719,0.699,False,False,False,False
COc1ccc(C23C=NC(C2)C(S#N)=C3C#N)cc1,B0_baseline,376.61,76.75,75.2,-4.0,5.03,344.12,4.1,-2.37,269.3,2.78,0.685,True,0.683,0.688,False,False,False,False
CN(C)c1cc(Oc2ccccc2C(=O)O)c(N=Nc2ccccc2)c(-c2ccnc(N=Nc3ccc(O)cn3)c2)c1,B0_baseline,366.13,56.84,83.0,-5.61,3.32,364.4,4.16,-0.27,559.6,8.24,0.72,True,0.657,0.784,True,False,False,False
CCc1ccc(N=Nc2ccc(O)c(-c3cccc(N=Nc4ccc(O)cc4)c3)c2)cc1,B0_baseline,408.27,56.32,78.8,-5.25,2.67,350.36,4.25,0.52,422.5,8.16,0.658,True,0.59,0.726,True,False,True,False
O=C(OC(F)(F)F)c1ccccc1O,B0_baseline,331.39,70.56,77.5,-4.95,2.07,316.38,3.72,-2.49,206.1,2.07,0.637,True,0.756,0.517,True,False,True,False
CCc1cccc(C(=O)C(C)OC23C4C5CC(C42)C53F)c1,B0_baseline,335.16,71.57,75.0,-4.0,4.37,324.35,4.11,-2.18,286.3,3.19,0.71,True,0.729,0.691,True,False,False,False
CCCCC(CC)COC(=O)C1=CC2CC1C(c1ccccc1)=C2C#N,B0_baseline,349.28,67.35,75.0,-4.0,4.53,345.96,3.78,-1.07,349.5,5.3,0.458,True,0.383,0.533,False,False,True,False
COc1ccc(C(=O)O)c(OO)c1,B0_baseline,360.38,70.16,77.0,-5.15,2.06,299.79,3.78,-2.94,184.1,1.25,0.517,True,0.659,0.375,True,False,True,False
C1=[SH]C2CC1C(c1cc(C34C5CC6C5C3C64)cs1)=N2,B0_baseline,321.22,59.5,75.7,-4.0,7.01,343.1,3.94,-2.36,285.4,2.93,0.839,True,0.851,0.827,False,False,False,False
N#CC1=C(C#N)C2CC1C=C2c1cc(C(=O)CC(=O)c2ccccc2)ccn1,B0_baseline,391.98,63.25,74.3,-4.0,4.42,348.54,4.09,-2.15,365.4,3.91,0.752,True,0.724,0.779,True,False,False,False
COc1ccc(OC(=O)c2ccccc2OC2=CC3CC2(C2=C(C#N)C4C=CC2C4)C(C#N)=C3S#N)cc1,B0_baseline,412.0,69.31,75.6,-4.06,5.76,339.2,4.14,-1.46,519.6,6.21,0.714,True,0.658,0.77,False,False,False,False
CN(C)c1ccc(N=Nc2cccc(C(C)(C)C)c2)cc1CC1=CC2C=CC1C2,B0_baseline,367.14,52.11,74.7,-4.22,4.65,347.21,4.29,0.02,385.6,7.14,0.756,True,0.717,0.794,False,False,False,False
CCCCC(CC)COC(=O)c1c(C(=O)CC(=O)c2ccccc2)cccc1C1=CC2CC1C(C#N)=C2C#N,B0_baseline,392.91,68.84,75.1,-4.0,4.78,343.7,3.81,-0.98,520.6,6.89,0.586,True,0.582,0.589,False,False,True,False
O=C(c1ccccc1)c1cccc(-c2cc(N=Nc3ccc(Cl)cc3)ccc2O)c1,B0_baseline,381.02,52.28,78.4,-5.25,2.25,350.62,4.08,0.01,412.9,7.36,0.645,True,0.585,0.704,True,False,True,False
N#CC1=C(S#N)C2C=CC1C2C1=C(c2cccs2)C2CC1C=[SH]2,B0_baseline,363.54,71.6,75.2,-4.0,6.78,375.71,3.9,-1.6,354.5,4.59,0.644,True,0.554,0.734,False,False,True,False
O=C(c1ccccc1)C12C3NC4C3C1C42,B0_baseline,332.26,72.43,75.0,-4.0,4.6,318.43,3.95,-3.13,197.2,1.09,0.698,True,0.729,0.667,False,False,False,False
CCC1=C(c2ccc(C34C5CC6C5C3C64)nc2)C2C=CC1C2,B0_baseline,326.7,67.04,74.7,-4.06,5.93,317.32,4.19,-1.46,287.4,4.21,0.697,True,0.566,0.829,False,False,True,False
CCNSC(CC)COC(=O)c1ccccc1C(=O)c1ccccc1,B0_baseline,396.75,83.25,76.3,-5.27,2.96,366.99,4.09,-1.96,357.5,4.11,0.658,True,0.716,0.6,True,False,True,False
CN(N)C12C3CC4C3C1C42C(=O)c1ccccc1-c1cccc(N=Nc2ccccc2)c1,B0_baseline,407.66,50.83,74.1,-4.26,4.58,357.96,4.31,-1.44,420.5,5.39,0.747,True,0.712,0.782,False,False,False,False
COc1ccc(-c2ccc(C3=CC4C(S#N)=C(C#N)C3C4C3=C(c4cccs4)C4C=CC3C4)cc2)cc1,B0_baseline,392.24,67.51,75.2,-4.0,5.69,353.56,4.36,0.06,516.7,8.33,0.643,True,0.562,0.723,False,False,True,False
CN(Cc1ccccc1C(=O)CC(=O)c1ccccc1)c1ccc(C2(C#N)C3C4C5C3C5(C#N)C42)cn1,B0_baseline,416.71,71.35,76.5,-4.03,4.73,336.1,4.21,-2.4,484.6,4.58,0.805,True,0.807,0.803,False,False,False,False
CC1=CC2C=C(C34C5C(C#N)C3C3(C#N)C5C34)C1C2,B0_baseline,268.34,70.7,74.0,-4.0,6.89,332.23,3.08,-2.31,246.3,2.66,0.815,True,0.772,0.857,False,False,False,False
CSOC12C3C4CC3C1(c1cc(O)ccc1N=Nc1cccnc1)C42,B0_baseline,399.67,52.58,70.3,-4.39,5.09,347.33,4.01,-1.73,351.4,4.38,0.749,True,0.695,0.803,False,False,False,False
CC(C(CCCO)COC(=O)OC(=O)c1ccccc1O)C12C=CC(C=C1)C2O,B0_baseline,381.27,67.99,73.0,-4.0,5.1,320.82,3.95,-3.16,402.4,2.81,0.689,True,0.747,0.631,False,False,True,False
Oc1ccc(N=Nc2cccc(C34CC5C3C3C5C34c3ccc(C4=CC5C=CC4C5)s3)c2)cc1,B0_baseline,397.25,52.64,73.8,-4.27,6.01,360.92,4.16,-0.15,460.6,7.54,0.757,True,0.704,0.81,False,False,False,False
O=C(c1ccccc1)c1ccccc1-c1cc(O)c(-c2ccccc2)cc1N=Nc1ccccn1,B0_baseline,381.71,52.84,79.5,-5.48,2.57,352.41,4.18,0.04,455.5,7.77,0.704,True,0.724,0.684,True,False,False,False
CN(C)c1ccc(C2(C#N)C3C4C5C3C5(C#N)C42)cc1-c1ccccc1/C=C/C(=O)O,B0_baseline,400.58,71.02,73.3,-4.0,4.85,355.77,4.28,-2.4,407.5,3.92,0.763,True,0.792,0.734,False,False,False,False
N1C2C3C1C1C2C31,B0_baseline,285.41,83.29,75.3,-4.0,5.7,200.55,3.13,-3.39,93.1,-0.17,0.928,True,0.947,0.909,False,False,False,False
CSOC12C3C4OC3C1(c1nc(O)cc(C)c1N=Nc1ccccc1)C42,B0_baseline,358.99,51.13,75.2,-4.24,5.19,350.72,3.97,-2.23,367.4,3.82,0.756,True,0.707,0.805,False,False,False,False
COc1ccc(C2=C(c3ccccc3)C3C=CC2C3)cc1,B0_baseline,362.15,68.5,75.0,-4.0,3.66,316.81,4.17,-0.96,274.4,4.81,0.354,True,0.294,0.414,True,False,True,False
N#CC1(c2ccccc2C(=O)c2ccccc2)C2C3C4C2C4(C#N)C31,B0_baseline,380.43,70.19,76.9,-4.0,4.5,348.27,4.13,-2.31,322.4,3.32,0.73,True,0.732,0.727,False,False,False,False
CC1=C(c2cccc(C(=O)CC(=O)c3ccccc3Cl)c2)C2C=C(C34C5C(C#N)C3C3(C#N)C5C34)C1C2,B0_baseline,399.49,66.7,78.3,-4.08,5.97,359.43,3.92,-1.29,503.0,6.3,0.754,True,0.72,0.789,False,False,False,False
COc1ccc(C23C(C#N)C4C2C2C3C42C#N)nc1,B0_baseline,373.08,70.01,73.8,-4.06,5.2,333.52,3.89,-3.16,249.3,1.5,0.738,True,0.741,0.735,False,False,False,False
CSOC12C3C4CC3C1(c1cc(O)ccc1N=Nc1ccccc1)C42C1=CC2CC1C=C2C,B0_baseline,397.88,55.82,78.4,-4.23,6.21,352.41,4.31,-0.59,454.6,6.88,0.738,True,0.667,0.81,False,False,False,False
CN(C)c1ccc(C2(S#N)C3C4C5C3C5(C#N)C42)c(C(C)(C)C)c1,B0_baseline,376.29,71.93,75.1,-4.0,5.28,347.56,4.1,-1.85,337.5,4.1,0.751,True,0.762,0.741,False,False,False,False
CC12C3CC4C3C1C42,B0_baseline,280.34,81.16,75.2,-4.1,5.11,252.63,3.49,-2.27,106.2,1.52,0.876,True,0.864,0.889,False,False,False,False
COC(=O)C1=CC2C=CC1N2,B0_baseline,256.43,81.87,73.8,-4.0,5.27,288.87,2.55,-3.62,151.2,-0.0,0.659,True,0.579,0.738,False,False,True,False
COC(=O)C1=CC2C=CC1C2/C(=C\c1ccccc1)C(=O)O,B0_baseline,349.02,73.29,74.7,-4.0,4.6,339.09,3.58,-2.6,296.3,2.69,0.69,True,0.679,0.7,False,False,False,False
CC(C)(C)c1ccsc1C1=C(C2C3C=C(c4ccccc4Cl)C2C(C#N)=C3S#N)C2C=CC1C2,B0_baseline,379.84,67.42,74.3,-4.0,6.1,359.98,4.17,0.35,501.1,8.61,0.753,True,0.699,0.807,False,False,False,False
C1=CC2CC1N=C2c1cc(C23C4SC5C4C2C53)cs1,B0_baseline,319.71,76.28,76.1,-4.0,6.9,344.93,3.83,-2.22,283.4,3.11,0.826,True,0.812,0.84,False,False,False,False
CCOC1=CC2C=C(c3cc(C#N)cs3)C1C2C12CC3C4C(C31)C42,B0_baseline,304.47,71.83,75.0,-4.0,6.34,344.89,4.23,-1.67,333.5,4.31,0.776,True,0.744,0.809,False,False,False,False
N#CC1=C(C#N)C2CC1C=C2c1cccc(C(=O)C(C(=O)c2ccccc2)c2cccc(C(=O)CC(=O)c3ccccc3)c2)c1,B0_baseline,365.84,59.48,78.2,-4.02,4.73,339.66,3.76,-1.05,586.6,7.37,0.75,True,0.698,0.802,False,False,False,False
CC(Cl)(OC12C3C4CC3C1(C(F)(F)F)C42)S(=O)(=O)O,B0_baseline,305.71,69.69,75.2,-4.08,5.6,332.79,2.93,-3.22,318.7,2.0,0.865,True,0.852,0.878,False,False,False,False
CCCCC(COC(=O)OC(=O)c1ccccc1O)C(C)C12C=CC(C=C1)C2,B0_baseline,386.79,67.99,74.8,-4.0,4.8,338.29,4.05,-1.31,384.5,5.26,0.608,True,0.676,0.541,False,False,True,False
CCc1ccccc1N=Nc1cc(Oc2ccc(N=Nc3ccccc3)cc2)ccc1C1=C(C)C2C=CC1C2,B0_baseline,378.71,47.9,74.2,-4.22,4.55,342.28,4.21,1.89,510.6,10.85,0.728,True,0.672,0.784,False,False,False,False
N#CC1=CC2CC1C=C2C1(C#N)C2C3C4C3(C#N)C1C24c1ccccc1/C=C/C(=O)O,B0_baseline,373.04,73.74,79.4,-4.0,6.38,358.69,4.17,-2.61,403.4,3.59,0.786,True,0.764,0.808,False,True,False,False
N#CC1=C(S#N)C2C=C(c3cccc(C#N)c3)C1C2C1=C(c2cccs2)C2C=CC1(c1ccccc1C1=CC3C=CC1C3)C2,B0_baseline,394.24,69.01,74.9,-4.03,6.82,358.91,4.38,0.33,601.8,9.44,0.681,True,0.595,0.767,False,False,True,False
SC(Cl)OC12C3C4CC3C1C42,B0_baseline,297.79,68.08,75.3,-4.0,5.72,320.25,3.38,-2.63,188.7,1.72,0.873,True,0.882,0.864,False,False,False,False
CC(Cl)OC12C3C4C(C(=O)c5ccccc5)C3C1(C(F)(F)F)C42,B0_baseline,339.71,71.75,75.0,-4.0,4.97,343.87,3.84,-2.03,342.7,3.89,0.754,True,0.766,0.742,False,False,False,False
Oc1ccc(N=Nc2cccc(C3=CC4(C5=CC6C=C(c7ccccc7)C5C6)CC3C=C4c3cccc(C(F)(F)F)c3)c2)cc1,B0_baseline,368.67,50.84,74.6,-4.22,5.71,331.42,4.19,1.44,598.7,10.97,0.751,True,0.712,0.79,False,False,False,False
Oc1ccc(N=Nc2cccc(C3=CC4CC3C=C4c3cccc(C(F)(F)F)c3)c2)cc1,B0_baseline,374.87,51.04,74.6,-4.23,4.39,353.12,4.17,0.3,432.4,7.94,0.675,True,0.608,0.742,True,False,True,False
COC(=O)C1=CC2CC1C(O)=C2c1cccc(C(=O)CC(=O)c2ccccc2-c2cccc(C(=O)c3ccccc3)c2)c1,B0_baseline,397.0,46.03,78.1,-4.1,4.35,346.37,4.03,-1.16,568.6,7.06,0.667,True,0.614,0.721,True,False,True,False
N#CC1=C(C#N)C2CC1C=C2c1cccc(C(=O)CC(=O)c2cccc(C34C5CC6C5C3C64)c2)c1,B0_baseline,377.71,62.29,74.9,-4.0,5.7,339.97,3.82,-1.72,454.5,5.28,0.772,True,0.736,0.808,False,False,False,False
FC(F)(F)C1=CC2C=C(c3ccccc3)C1C2,B0_baseline,275.44,67.78,75.0,-4.0,4.48,313.16,4.06,-1.15,236.2,4.21,0.676,True,0.619,0.733,False,False,True,False
O=C(O)c1cc(-c2c(-c3ccsc3)ccc(O)c2C(=O)O)ccc1O,B0_baseline,374.35,60.15,76.7,-4.89,2.46,357.78,4.21,-2.11,356.4,3.89,0.703,True,0.709,0.698,True,False,False,False
N#CC1C2C3C1C1(C#N)C2C31,B0_baseline,299.03,77.37,75.3,-4.0,5.84,251.63,2.24,-3.02,142.2,0.77,0.866,True,0.86,0.871,False,False,False,False
CC(C)(CC1=CC2C=C(c3ccccc3)C1C2)c1ccsc1C1=C(C2C3N=C(c4ccccc4)C2C(C#N)=C3S#N)C2C=CC1C2,B0_baseline,388.94,67.16,75.1,-4.0,6.87,342.17,4.25,0.63,633.9,10.14,0.771,True,0.714,0.827,False,False,False,False
CCOC12C=CC(C1)C(C1C3C=C(c4ccccc4C4=C(C(=O)OC)C5C=CC4C5)C1C(C#N)=C3S#N)=C2c1sccc1C(C)(C)O,B0_baseline,421.78,51.71,75.5,-4.0,7.02,354.11,4.22,-0.93,660.9,8.18,0.745,True,0.685,0.806,False,False,False,False
COC(=O)C1(C23C(C#N)C4C5C(C42)C53C#N)C2C=CC1C=C2,B0_baseline,341.53,75.93,75.0,-4.0,6.57,334.33,2.97,-3.28,290.3,1.67,0.774,True,0.755,0.794,False,False,False,False
COc1cc(C(=O)C23C=CC(C2)C(Cl)=C3)cc(C2=C(c3cccs3)C3C=CC2C3)c1,B0_baseline,371.64,69.67,75.0,-4.0,5.76,356.23,4.18,-0.55,433.0,6.75,0.633,True,0.556,0.711,False,False,True,False
CC1=C(c2cccc(C(=O)CC(=O)c3ccccc3)c2)C2C=C(C34C5C(C#N)C3C3(C#N)C5C34C#N)C1C2,B0_baseline,407.37,65.46,79.1,-4.09,6.04,348.02,3.93,-1.78,493.6,5.54,0.748,True,0.684,0.811,False,False,False,False
N#CC1=C(c2cccc(-c3cccc(C(=O)O)c3O)c2)C2C=C(c3cc(N=Nc4ccccc4)ccc3O)C1C2,B0_baseline,402.29,48.93,78.0,-4.32,4.6,340.07,3.92,-0.3,525.6,7.89,0.717,True,0.677,0.758,False,False,False,False
COC(=O)C1=CC2CC1C=C2C12CC3(OC(=O)c4ncccc4O)C4C(C41)C32,B0_baseline,387.19,78.56,77.8,-4.0,6.07,357.36,3.3,-3.4,377.4,2.25,0.737,True,0.703,0.77,False,False,False,False
COC(=O)C1=CC2C=C(OC3=CC4C=C(C#N)C3C4)C1C2,B0_baseline,316.56,75.71,75.0,-4.0,6.4,330.63,3.02,-2.56,281.3,2.62,0.678,True,0.587,0.769,False,False,True,False
CC1=C(c2cc(C3=CC4CC3C=C4C#N)ccc2N=Nc2ccccc2)C2C=CC1C2,B0_baseline,369.28,50.15,74.8,-4.2,5.71,346.59,4.33,0.22,401.5,7.56,0.68,True,0.576,0.785,False,False,True,False
CC1=[SH]C2C=C(C34C5C(C#N)C3C3(C#N)C5C34)C1C2,B0_baseline,275.06,70.58,74.0,-4.0,7.35,335.96,3.08,-2.81,266.4,2.13,0.828,True,0.8,0.855,False,False,False,False
N#Cc1csc(C2=[SH]C3CC2C=N3)c1,B0_baseline,317.33,70.15,75.0,-4.0,6.03,343.0,3.91,-2.6,220.3,2.04,0.767,True,0.745,0.789,False,False,False,False
ClC12C3NC4C3C1C42,B0_baseline,288.57,81.12,75.3,-4.0,6.15,238.19,3.03,-3.34,127.6,0.19,0.914,True,0.917,0.912,False,False,False,False
CN(C)c1ccc(-c2cccc(C(=O)C34C5CC6C5C3C64N(C)C)c2)cc1,B0_baseline,392.69,63.6,75.0,-4.0,4.35,336.22,4.35,-2.19,358.5,3.8,0.638,True,0.61,0.667,True,False,True,False
N#CC1C2C3C4C3(C#N)C1C24c1ccccc1/C=C/C(=O)O,B0_baseline,362.78,69.1,73.9,-4.0,4.99,358.83,3.99,-2.9,288.3,2.19,0.786,True,0.814,0.759,False,False,False,False
SC(Cl)OC12C3C4OC3C1C42,B0_baseline,299.92,74.25,75.3,-4.0,5.97,285.09,2.42,-3.26,190.7,0.85,0.902,True,0.896,0.909,False,False,False,False
CSOC12C3C4CC(C56CC(C=C5c5cccc(O)c5C(=O)O)C(C#N)=C6C5C6C=CC5C(C#N)=C6)(C41)C32,B0_baseline,404.8,73.42,75.9,-4.01,7.22,346.31,3.98,-2.24,520.6,5.12,0.818,True,0.802,0.833,False,False,False,False
COOc1cc(Cl)cc(CC2=CC3C=CC2C3)c1C(=O)O,B0_baseline,307.69,72.04,75.4,-4.0,4.88,344.56,3.62,-1.98,306.7,3.65,0.708,True,0.647,0.769,False,False,True,False
N#CC1=C(C#N)C2C=CC1C2OC(=O)/C=C/c1ccccc1C12C3C(C#N)C1C1(C#N)C3C12,B0_baseline,401.66,67.67,74.0,-4.0,6.23,372.4,4.18,-3.06,428.5,3.18,0.792,True,0.797,0.787,False,True,False,False
N#CC1=C(C#N)C2(c3ccsc3)C=CC1C2,B0_baseline,344.58,63.36,75.0,-4.0,5.13,331.03,3.92,-2.0,224.3,2.92,0.763,True,0.712,0.815,False,False,False,False
CCOC12C=CC(C1)C(C1C3C=C(c4ccccc4)C1C(C#N)=C3S#N)=C2c1sccc1C(C)(C)C,B0_baseline,389.81,57.3,75.2,-4.0,6.22,352.87,4.29,-0.05,510.7,8.11,0.786,True,0.765,0.807,False,False,False,False
CN(C)c1ccc(N=Nc2cccc(-c3cccc(N=Nc4ccccc4)c3)c2)cc1,B0_baseline,393.08,51.15,78.8,-5.18,2.45,362.48,4.3,0.68,405.5,8.25,0.401,True,0.25,0.552,True,False,True,False
N#CC1=C(S#N)C2C=CC1C2C1=C(c2cncs2)C2CC1C=C2O,B0_baseline,417.1,65.94,74.9,-4.15,6.6,377.48,3.89,-1.71,351.5,4.41,0.78,True,0.726,0.833,False,False,False,False
CC(C1=CC2CC1C(C#N)=C2C#N)C1=CC2C(S#N)=C(C#N)C1C2C1=C(c2cccs2)C2CC1C=C2C#N,B0_baseline,397.9,70.54,75.6,-4.0,7.35,343.17,3.74,-0.98,527.7,6.95,0.71,True,0.657,0.763,False,False,False,False
N#CC1=CC2CC1C(C#N)=C2C#N,B0_baseline,268.38,79.31,75.4,-4.0,5.3,302.96,3.0,-2.7,167.2,1.43,0.683,True,0.548,0.818,False,False,True,False
N#CC1C2C3C4C(C13C#N)C24C#N,B0_baseline,302.17,76.67,74.4,-4.0,6.03,263.63,2.14,-3.25,167.2,0.67,0.883,True,0.868,0.897,False,False,False,False
N#CC1=C(C#N)C2CC1C=C2Oc1ccccc1C(=O)O,B0_baseline,367.32,68.91,74.9,-4.0,4.48,322.51,3.8,-2.52,278.3,2.64,0.699,True,0.686,0.711,True,False,False,False
CC(C#N)c1ccc(C(=O)O)c(O)c1,B0_baseline,343.18,71.13,74.8,-5.12,2.76,326.99,3.69,-2.65,191.2,1.72,0.671,True,0.714,0.629,True,False,True,False
N#CC1=C(C23C=CC(C(C#N)=C2C#N)C3F)C2C=CC1C2,B0_baseline,307.01,68.71,75.0,-4.0,6.3,339.41,3.95,-2.33,275.3,2.88,0.723,True,0.619,0.827,False,False,True,False
N#CC1=C(C#N)C2(c3ccccc3C(=O)C34C5CC6C5C3(C3=CC5CC3C=C5c3ccccc3)C64)C=NC1C2,B0_baseline,368.5,66.27,78.8,-4.0,6.73,340.63,4.28,-1.62,503.6,5.85,0.782,True,0.747,0.817,False,False,False,False
CN(C)C1=NC2C=CC1C2,B0_baseline,309.38,82.92,75.0,-4.0,5.62,262.89,2.74,-2.89,136.2,0.9,0.726,True,0.667,0.786,False,False,False,False
O=C(c1ccccc1)c1cccc(-c2cc(N=Nc3ccccc3)c(C34C=CC(C=C3c3ccccc3)C4)cc2O)c1,B0_baseline,372.08,53.97,78.3,-4.28,4.5,326.55,4.3,0.81,544.7,9.62,0.722,True,0.69,0.754,False,False,False,False
N#CC1=C(C#N)C2(C3=C(C#N)C4C=CC3C4)CC1C=C2C12C3C4C(C(C#N)C41C14C5C6CC5C1C64)C32C#N,B0_baseline,387.04,70.99,74.8,-4.03,7.77,345.85,3.87,-2.59,487.6,4.34,0.808,True,0.75,0.867,False,False,False,False
CCCCC(CC)COC(=O)c1c(C(=O)NC(=O)c2cccnc2)cccc1C1=CC2CC1C(C#N)=C2C#N,B0_baseline,411.19,68.49,72.5,-4.06,4.82,344.84,3.9,-2.05,522.6,5.4,0.642,True,0.643,0.642,False,False,True,False
Oc1ccc(N=Nc2ccncn2)nc1,B0_baseline,357.93,50.3,78.2,-5.78,3.18,330.0,3.95,-2.51,201.2,1.99,0.72,True,0.719,0.721,True,False,False,False
