SMILES,lambda_max,delta_h,pss_z,k_thermal,donor,acceptor,scaffold,system_type,source_id,calc_method
[H]C1=C(c2ccc(C#N)cc2)C2C=CC1C2(C)C,280.0,65.02,75.0,0.0001,H,4-Cyanophenyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccc(C#N)cc2)C2CC1(C)C=C2C,280.0,64.5,75.0,0.0001,H,4-Cyanophenyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccc([N+](=O)[O-])cc2)C2C=CC1C2,285.0,80.5,75.0,0.0001,H,4-Nitrophenyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccc([N+](=O)[O-])cc2)C2C=CC1C2(C)C,285.0,62.5,75.0,0.0001,H,4-Nitrophenyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccc([N+](=O)[O-])cc2)C2CC1(C)C=C2C,285.0,71.5,75.0,0.0001,H,4-Nitrophenyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccc(C(F)(F)F)cc2)C2C=CC1C2,273.0,62.5,75.0,0.0001,H,4-Trifluoromethylphenyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccc(C(F)(F)F)cc2)C2C=CC1C2(C)C,273.0,65.23,75.0,0.0001,H,4-Trifluoromethylphenyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccc(C(F)(F)F)cc2)C2CC1(C)C=C2C,273.0,80.5,75.0,0.0001,H,4-Trifluoromethylphenyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)c2ccccc2)C2C=CC1C2,270.0,65.55,75.0,0.0001,H,Benzoyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)c2ccccc2)C2C=CC1C2(C)C,270.0,81.5,75.0,0.0001,H,Benzoyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)c2ccccc2)C2CC1(C)C=C2C,270.0,69.32,75.0,0.0001,H,Benzoyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccccn2)C2C=CC1C2,263.0,59.27,75.0,0.0001,H,2-Pyridyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccccn2)C2C=CC1C2(C)C,263.0,65.53,75.0,0.0001,H,2-Pyridyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccccn2)C2CC1(C)C=C2C,263.0,57.65,75.0,0.0001,H,2-Pyridyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccncc2)C2C=CC1C2,265.0,61.5,75.0,0.0001,H,4-Pyridyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccncc2)C2C=CC1C2(C)C,265.0,65.47,75.0,0.0001,H,4-Pyridyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccncc2)C2CC1(C)C=C2C,265.0,64.5,75.0,0.0001,H,4-Pyridyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)O)C2C=CC1C2,250.0,112.56,75.0,0.0001,H,Carboxylic acid,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)O)C2C=CC1C2(C)C,250.0,68.5,75.0,0.0001,H,Carboxylic acid,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)O)C2CC1(C)C=C2C,250.0,106.04,75.0,0.0001,H,Carboxylic acid,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OCC(CC)CCCC)C2C=CC1C2,255.0,123.29,75.0,0.0001,H,Ethylhexyl ester,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OCC(CC)CCCC)C2C=CC1C2(C)C,255.0,67.5,75.0,0.0001,H,Ethylhexyl ester,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OCC(CC)CCCC)C2CC1(C)C=C2C,255.0,94.12,75.0,0.0001,H,Ethylhexyl ester,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2cccc(C#N)c2)C2C=CC1C2,277.0,73.5,75.0,0.0001,H,3-Cyanophenyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2cccc(C#N)c2)C2C=CC1C2(C)C,277.0,80.5,75.0,0.0001,H,3-Cyanophenyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2cccc(C#N)c2)C2CC1(C)C=C2C,277.0,75.5,75.0,0.0001,H,3-Cyanophenyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OC(C)C)C2C=CC1C2,253.0,113.58,75.0,0.0001,H,Isopropyl ester,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OC(C)C)C2C=CC1C2(C)C,253.0,42.85,75.0,0.0001,H,Isopropyl ester,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OC(C)C)C2CC1(C)C=C2C,253.0,101.6,75.0,0.0001,H,Isopropyl ester,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(S(=O)(=O)c2ccccc2)C2C=CC1C2,267.0,77.5,75.0,0.0001,H,Phenylsulfonyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(S(=O)(=O)c2ccccc2)C2C=CC1C2(C)C,267.0,63.5,75.0,0.0001,H,Phenylsulfonyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(S(=O)(=O)c2ccccc2)C2CC1(C)C=C2C,267.0,80.5,75.0,0.0001,H,Phenylsulfonyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2nccs2)C2C=CC1C2,261.0,60.91,75.0,0.0001,H,2-Thiazolyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2nccs2)C2C=CC1C2(C)C,261.0,65.5,75.0,0.0001,H,2-Thiazolyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2nccs2)C2CC1(C)C=C2C,261.0,53.69,75.0,0.0001,H,2-Thiazolyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)NCC)C2C=CC1C2,251.0,101.96,75.0,0.0001,H,Ethylamide,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)NCC)C2C=CC1C2(C)C,251.0,31.04,75.0,0.0001,H,Ethylamide,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)NCC)C2CC1(C)C=C2C,251.0,95.49,75.0,0.0001,H,Ethylamide,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
N#CC1=C(c2ccccc2)C2C=CC1C2,330.0,62.89,75.0,0.0001,Phenyl,Cyano,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(c1ccccc1)=C2C#N,330.0,68.42,75.0,0.0001,Phenyl,Cyano,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(C#N)=C2c1ccccc1,330.0,51.97,75.0,0.0001,Phenyl,Cyano,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
COC(=O)C1=C(c2ccccc2)C2C=CC1C2,333.0,69.78,75.0,0.0001,Phenyl,Methyl ester,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
COC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,333.0,68.33,75.0,0.0001,Phenyl,Methyl ester,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
COC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2,333.0,58.49,75.0,0.0001,Phenyl,Methyl ester,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CCOC(=O)C1=C(c2ccccc2)C2C=CC1C2,333.0,67.7,75.0,0.0001,Phenyl,Ethyl ester,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CCOC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,333.0,76.5,75.0,0.0001,Phenyl,Ethyl ester,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CCOC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2,333.0,77.5,75.0,0.0001,Phenyl,Ethyl ester,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC(=O)C1=C(c2ccccc2)C2C=CC1C2,335.0,71.5,75.0,0.0001,Phenyl,Acetyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,335.0,68.27,75.0,0.0001,Phenyl,Acetyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2,335.0,40.91,75.0,0.0001,Phenyl,Acetyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
FC(F)(F)C1=C(c2ccccc2)C2C=CC1C2,320.0,134.25,75.0,0.0001,Phenyl,Trifluoromethyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(C(F)(F)F)=C2c1ccccc1,320.0,68.1,75.0,0.0001,Phenyl,Trifluoromethyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(C(F)(F)F)=C2c1ccccc1,320.0,125.61,75.0,0.0001,Phenyl,Trifluoromethyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CS(=O)(=O)C1=C(c2ccccc2)C2C=CC1C2,325.0,140.25,75.0,0.0001,Phenyl,Methylsulfonyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(S(C)(=O)=O)=C2c1ccccc1,325.0,105.01,75.0,0.0001,Phenyl,Methylsulfonyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(S(C)(=O)=O)=C2c1ccccc1,325.0,81.5,75.0,0.0001,Phenyl,Methylsulfonyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
NC(=O)C1=C(c2ccccc2)C2C=CC1C2,329.0,72.91,75.0,0.0001,Phenyl,Carboxamide,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(c1ccccc1)=C2C(N)=O,329.0,68.45,75.0,0.0001,Phenyl,Carboxamide,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(C(N)=O)=C2c1ccccc1,329.0,67.83,75.0,0.0001,Phenyl,Carboxamide,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
N#Cc1ccc(C2=C(c3ccccc3)C3C=CC2C3)cc1,360.0,67.52,75.0,0.0001,Phenyl,4-Cyanophenyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(c1ccc(C#N)cc1)=C2c1ccccc1,360.0,69.5,75.0,0.0001,Phenyl,4-Cyanophenyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(c1ccc(C#N)cc1)=C2c1ccccc1,360.0,67.52,75.0,0.0001,Phenyl,4-Cyanophenyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
O=[N+]([O-])c1ccc(C2=C(c3ccccc3)C3C=CC2C3)cc1,365.0,67.37,75.0,0.0001,Phenyl,4-Nitrophenyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(c1ccc([N+](=O)[O-])cc1)=C2c1ccccc1,365.0,67.37,75.0,0.0001,Phenyl,4-Nitrophenyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(c1ccc([N+](=O)[O-])cc1)=C2c1ccccc1,365.0,79.5,75.0,0.0001,Phenyl,4-Nitrophenyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
FC(F)(F)c1ccc(C2=C(c3ccccc3)C3C=CC2C3)cc1,353.0,67.73,75.0,0.0001,Phenyl,4-Trifluoromethylphenyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(c1ccc(C(F)(F)F)cc1)=C2c1ccccc1,353.0,67.73,75.0,0.0001,Phenyl,4-Trifluoromethylphenyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(c1ccc(C(F)(F)F)cc1)=C2c1ccccc1,353.0,62.5,75.0,0.0001,Phenyl,4-Trifluoromethylphenyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
O=C(C1=C(c2ccccc2)C2C=CC1C2)c1ccccc1,350.0,47.32,75.0,0.0001,Phenyl,Benzoyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(c1ccccc1)=C2C(=O)c1ccccc1,350.0,67.82,75.0,0.0001,Phenyl,Benzoyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(C(=O)c1ccccc1)=C2c1ccccc1,350.0,71.5,75.0,0.0001,Phenyl,Benzoyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
C1=CC2CC1C(c1ccccc1)=C2c1ccccn1,343.0,60.5,75.0,0.0001,Phenyl,2-Pyridyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(c1ccccn1)=C2c1ccccc1,343.0,68.5,75.0,0.0001,Phenyl,2-Pyridyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(c1ccccn1)=C2c1ccccc1,343.0,64.5,75.0,0.0001,Phenyl,2-Pyridyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
C1=CC2CC1C(c1ccccc1)=C2c1ccncc1,345.0,67.97,75.0,0.0001,Phenyl,4-Pyridyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(c1ccncc1)=C2c1ccccc1,345.0,77.5,75.0,0.0001,Phenyl,4-Pyridyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(c1ccncc1)=C2c1ccccc1,345.0,67.97,75.0,0.0001,Phenyl,4-Pyridyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
O=C(O)C1=C(c2ccccc2)C2C=CC1C2,330.0,70.98,75.0,0.0001,Phenyl,Carboxylic acid,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(c1ccccc1)=C2C(=O)O,330.0,77.5,75.0,0.0001,Phenyl,Carboxylic acid,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(C(=O)O)=C2c1ccccc1,330.0,64.03,75.0,0.0001,Phenyl,Carboxylic acid,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CCCCC(CC)COC(=O)C1=C(c2ccccc2)C2C=CC1C2,335.0,58.35,75.0,0.0001,Phenyl,Ethylhexyl ester,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CCCCC(CC)COC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,335.0,79.5,75.0,0.0001,Phenyl,Ethylhexyl ester,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CCCCC(CC)COC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2,335.0,44.36,75.0,0.0001,Phenyl,Ethylhexyl ester,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
N#Cc1cccc(C2=C(c3ccccc3)C3C=CC2C3)c1,357.0,67.61,75.0,0.0001,Phenyl,3-Cyanophenyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(c1cccc(C#N)c1)=C2c1ccccc1,357.0,77.5,75.0,0.0001,Phenyl,3-Cyanophenyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(c1cccc(C#N)c1)=C2c1ccccc1,357.0,67.61,75.0,0.0001,Phenyl,3-Cyanophenyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC(C)OC(=O)C1=C(c2ccccc2)C2C=CC1C2,333.0,69.95,75.0,0.0001,Phenyl,Isopropyl ester,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC(C)OC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,333.0,72.5,75.0,0.0001,Phenyl,Isopropyl ester,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(C(=O)OC(C)C)=C2c1ccccc1,333.0,65.05,75.0,0.0001,Phenyl,Isopropyl ester,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
O=S(=O)(C1=C(c2ccccc2)C2C=CC1C2)c1ccccc1,347.0,74.5,75.0,0.0001,Phenyl,Phenylsulfonyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1(C)C2C=CC1C(S(=O)(=O)c1ccccc1)=C2c1ccccc1,347.0,104.46,75.0,0.0001,Phenyl,Phenylsulfonyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
CC1=CC2(C)CC1C(S(=O)(=O)c1ccccc1)=C2c1ccccc1,347.0,76.5,75.0,0.0001,Phenyl,Phenylsulfonyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
