SMILES,lambda_max,delta_h,pss_z,k_thermal,system_type,source_id,calc_method,compound_name
CN(N=C1C)C(C)=C1/N=N/C2=C(Cl)C=CC=C2Cl,328.0,50.0,80.0,6.95e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_28
CN(N=C1C)C(C)=C1/N=N/C2=C(OC)C=CC=C2OC,307.0,50.0,81.0,7.22e-08,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_29
FC1=CC=CC=C1/N=N/C2=C(F)C=CC=C2,325.0,50.0,66.0,1.75037e-05,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_30
FC1=CC=CC(F)=C1/N=N/C2=CC=CC=C2,309.0,50.0,74.0,7.70164e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_31
FC1=CC=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,305.0,50.0,86.0,2.0928360000000003e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_32
FC1=CC(F)=CC(F)=C1/N=N/C(C(F)=C2)=C(F)C=C2F,309.0,50.0,94.0,9.6e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_33
FC1=C(F)C=C(F)C(F)=C1/N=N/C2=C(F)C(F)=CC(F)=C2F,303.0,50.0,92.0,7.131139999999999e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_34
FC1=C(F)C(F)=C(F)C(F)=C1/N=N/C2=C(F)C(F)=C(F)C(F)=C2F,310.0,50.0,91.0,4.1e-05,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_35
FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,316.0,50.0,75.0,9.16861e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_36
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=C(C(OCC)=O)C=C2F,314.0,50.0,90.0,1.283606e-05,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_37
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,310.0,50.0,95.0,6.41803e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_38
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,320.0,50.0,61.0,2.4067600000000003e-05,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_39
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=CC=C2,316.0,50.0,79.0,2.7505840000000003e-05,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_40
CC(NC(C=C1)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2)=O,338.0,50.0,,0.0001013372999999,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_53
CC(NC(C=C1OC)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2OC)=O,345.0,50.0,80.0,5.73038e-07,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_54
COC(C=CN=C1)=C1/N=N/C2=CC=CC=C2,332.0,50.0,90.0,8.767799999999999e-09,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_55
C1(/N=N/C2=CC=CC=C2)=CC=CN=C1,322.0,50.0,63.0,8.44478e-07,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_56
CC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,322.0,50.0,72.0,1.92541e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_57
CC(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,323.0,50.0,75.0,6.09307e-07,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_58
IC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,330.0,50.0,81.0,1.6742700000000002e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_59
CN(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,313.0,50.0,63.0,6.211e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_60
O=C(N(CCC)C=C1/N=N/C2=CC=C(C(C)(C)C)C=C2)NC1=O,375.0,50.0,100.0,9.8739e-07,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_61
O=C(COC1=C(/N=N\C2=C(OC3)C=CC=C2)C=CC=C1)O[C@H]4[C@H](OCC5=CC=CC=C5)[C@@H](OCC6=CC=CC=C6)[C@H](SC7=CC=CC=C7)O[C@@H]4COC3=O,310.0,50.0,95.0,1.573046e-07,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_62
CC1=C(C(C)=NN1)/N=N/C2=C(F)C=CC=C2,334.0,50.0,90.0,4.55e-05,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_63
CC1=C(C(C)=NN1)/N=N/C2=CC(F)=CC=C2,334.0,50.0,87.0,0.00185,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_64
CC1=C(C(C)=NN1)/N=N/C2=CC=C(F)C=C2,330.0,50.0,85.0,0.00162,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_65
CC1=C(C(C)=NN1)/N=N/C2=C(Cl)C=CC=C2,339.0,50.0,84.0,0.00403,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_66
CC1=C(C(C)=NN1)/N=N/C2=CC(Cl)=CC=C2,336.0,50.0,80.0,0.0114,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_67
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Cl)C=C2,336.0,50.0,90.0,0.0016699999999999,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_68
CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,340.0,50.0,88.0,0.0042899999999999,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_69
CC1=C(C(C)=NN1)/N=N/C2=CC(Br)=CC=C2,335.0,50.0,86.0,0.0587,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_70
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Br)C=C2,337.0,50.0,92.0,0.00179,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_71
CC1=C(C(C)=NN1)/N=N/C2=CC(O)=CC=C2,330.0,50.0,86.0,0.00288,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_72
CC1=C(C(C)=NN1)/N=N/C2=C(C(F)(F)F)C=CC=C2,335.0,50.0,41.0,0.3279999999999999,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_73
CC1=C(C(C)=NN1)/N=N/C2=CC(C(F)(F)F)=CC=C2,332.0,50.0,83.0,0.00265,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_74
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(F)(F)F)C=C2,334.0,50.0,79.0,0.0296,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_75
CC1=C(C(C)=NN1)/N=N/C2=C(OC)C=CC=C2,350.0,50.0,92.0,0.00104,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_76
CC1=C(C(C)=NN1)/N=N/C2=CC(OC)=CC=C2,330.0,50.0,85.0,0.00297,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_77
CC1=C(C(C)=NN1)/N=N/C2=CC=C(OC)C=C2,342.0,50.0,92.0,0.0012,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_78
CC1=C(C(C)=NN1)/N=N/C2=C(C)C=CC=C2,336.0,50.0,92.0,0.00692,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_79
CC1=C(C(C)=NN1)/N=N/C2=CC(C)=CC=C2,331.0,50.0,88.0,0.00199,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_80
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C)C=C2,335.0,50.0,90.0,0.00145,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_81
CC1=C(C(C)=NN1)/N=N/C2=CC(C(O)=O)=CC=C2,332.0,50.0,81.0,0.0304,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_82
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(O)=O)C=C2,342.0,50.0,83.0,0.0441,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_83
CC1=C(C(C)=NN1)/N=N/C2=CC(NC(C)=O)=CC=C2,329.0,50.0,86.0,0.0544,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_84
CC1=C(C(C)=NN1)/N=N/C2=CC=C(NC(C)=O)C=C2,350.0,50.0,91.0,0.00144,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_85
CC1=NOC(C)=C1/N=N/C2=CC=CC=C2,315.0,50.0,65.0,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_86
CC1=NOC(C)=C1/N=N/C2=C(F)C=CC=C2,321.0,50.0,48.0,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_87
CC1=NOC(C)=C1/N=N/C2=CC(F)=CC=C2,315.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_88
CC1=NOC(C)=C1/N=N/C2=CC=C(F)C=C2,318.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_89
CC1=NOC(C)=C1/N=N/C2=C(Cl)C=CC=C2,321.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_90
CC1=NOC(C)=C1/N=N/C2=CC(Cl)=CC=C2,315.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_91
CC1=NOC(C)=C1/N=N/C2=CC=C(Cl)C=C2,323.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_92
CC1=NOC(C)=C1/N=N/C2=C(Br)C=CC=C2,321.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_93
CC1=NOC(C)=C1/N=N/C2=CC(Br)=CC=C2,315.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_94
CC1=NOC(C)=C1/N=N/C2=CC=C(Br)C=C2,325.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_95
CC1=NOC(C)=C1/N=N/C2=CC=C(I)C=C2,330.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_96
CC1=NOC(C)=C1/N=N/C2=CC(O)=CC=C2,313.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_97
CC1=NOC(C)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,314.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_98
CC1=NOC(C)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,312.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_99
CC1=NOC(C)=C1/N=N/C2=C(OC)C=CC=C2,311.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_100
CC1=NOC(C)=C1/N=N/C2=CC(OC)=CC=C2,312.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_101
CC1=NOC(C)=C1/N=N/C2=CC=C(OC)C=C2,337.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_102
CC1=NOC(C)=C1/N=N/C2=C([N+]([O-])=O)C=CC=C2,318.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_103
CC1=NOC(C)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,332.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_104
CC1=NOC(C)=C1/N=N/C2=CC=C(C)C=C2,323.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_105
CC1=NOC(C)=C1/N=N/C2=CC(NC(C)=O)=CC=C2,315.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_106
CC1=NOC(C)=C1/N=N/C2=CC=C(NC(C)=O)C=C2,342.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_107
CC1=C(/N=N/C2=C3C=CC=CC3=CC=C2)C(C)=NO1,362.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_108
CC1=C(/N=N/C2=CC(Cl)=CC=C2Cl)C(C)=NO1,320.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_109
CC1=C(/N=N/C2=C(Cl)C=CC=C2Cl)C(C)=NO1,297.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_110
CC1=C(/N=N/C2=CC=C(F)C=C2F)C(C)=NO1,324.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_111
CC1=C(/N=N/C2=CC(F)=CC=C2F)C(C)=NO1,328.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_112
CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,309.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_113
CC1=C(/N=N/C2=CC(F)=CC(F)=C2)C(C)=NO1,315.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_114
CC1=C(/N=N/C2=CC=CC(N)=C2)C(C)=NO1,315.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_115
CC1=C(/N=N/C2=CC=CC=C2C#N)C(C)=NO1,325.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_116
CC1=C(/N=N/C2=CC=CN=C2)C(C)=NO1,316.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_117
CC1=CC=C(/N=N/C2=CC=CS2)C=C1,365.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_118
C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,319.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_119
BrC1=CC=CC=C1/N=N/C2=CC=CC=C2,326.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_120
FC(F)(F)C1=CC=CC=C1/N=N/C2=CC=CC=C2,317.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_121
CC1=CC=CC=C1/N=N/C2=CC=CC=C2,323.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_122
NC1=CC=CC=C1/N=N/C2=CC=CC=C2,421.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_123
BrC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,321.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_124
CC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,322.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_125
NC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,417.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_126
O=[N+]([O-])C1=CC(/N=N/C2=CC=CC=C2)=CC=C1,327.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_127
BrC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,329.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_128
FC(F)(F)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,315.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_129
ClC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,324.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_130
N#CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,321.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_131
CC(C1=CC=C(/N=N/C2=CC=CC=C2)C=C1)=O,326.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_132
O=C(OC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,328.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_133
FC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,322.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_134
OC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,339.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_135
O=C1C=CC(N1C2=CC=C(/N=N/C3=CC=CC=C3)C=C2)=O,329.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_136
CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,330.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_137
CCN(CC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,416.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_138
NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,364.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_139
CC(NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1)=O,346.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_140
CNC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,380.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_141
CN(C)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,408.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_142
O=[N+]([O-])C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,333.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_143
C1(NC2=CC=CC=C2)=CC=C(/N=N/C3=CC=CC=C3)C=C1,411.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_144
FC(F)(F)C1=C(/N=N/C2=C(C(F)(F)F)C=CC=C2)C=CC=C1,317.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_145
ClC1=C(/N=N/C2=C(Cl)C=CC=C2)C=CC=C1,328.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_146
CC1=CC=CC=C1/N=N/C2=CC=CC=C2C,331.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_147
CC(C=CC=C1C)=C1/N=N/C2=CC=CC=C2,316.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_148
BrC1=CC=CC(/N=N/C2=CC=CC(Br)=C2)=C1,320.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_149
ClC1=CC=CC(/N=N/C2=CC=CC(Cl)=C2)=C1,320.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_150
FC1=CC=CC(/N=N/C2=CC=CC(F)=C2)=C1,320.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_151
CC1=CC=CC(/N=N/C2=CC=CC(C)=C2)=C1,331.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_152
BrC1=CC=C(/N=N/C2=CC=C(Br)C=C2)C=C1,324.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_153
ClC1=CC=C(/N=N/C2=CC=C(Cl)C=C2)C=C1,331.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_154
FC(F)(F)C1=CC=C(/N=N/C2=CC=C(C(F)(F)F)C=C2)C=C1,313.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_155
FC1=CC=C(/N=N/C2=CC=C(F)C=C2)C=C1,325.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_156
CC1=CC=C(/N=N/C2=CC=C(C)C=C2)C=C1,326.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_157
CC1=C(/N=N/C2=CC=CC(C)=C2C)C=CC=C1C,332.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_159
CC1=C(/N=N/C2=CC=C(C)C=C2C)C=CC(C)=C1,346.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_160
CC1=C(/N=N/C2=CC(C)=CC=C2C)C=C(C)C=C1,336.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_161
CC1=CC(/N=N/C2=CC(C)=C(C)C=C2)=CC=C1C,333.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_162
CC1=C(Cl)C=CC=C1/N=N/C2=C(C)C(Cl)=CC=C2,329.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_163
CC1=CC(Cl)=CC=C1/N=N/C2=C(C)C=C(Cl)C=C2,346.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_164
BrC1=CC(Br)=CC(Br)=C1/N=N/C2=C(Br)C=C(Br)C=C2Br,302.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_165
CC1=CC(C)=CC(C)=C1/N=N/C2=C(C)C=C(C)C=C2C,325.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_166
