SMILES,lambda_max,log_eps,quantum_yield,system_type,source_id,calc_method,compound_name
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,295.0,3.78,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_101
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,294.0,3.76,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_102
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,300.0,3.87,0.33,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_103
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,300.0,3.86,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_104
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,302.0,3.91,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_105
COc1ccc([Si](C)(C)C)c2ccccc12,312.0,3.71,0.65,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_106
C[Si](C)(C)c1ccc(C#N)c2ccccc12,315.0,3.88,0.66,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_107
C[Si](C)(C)c1cccc2c(C#N)cccc12,311.0,3.82,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_108
C[Si](C)(C)C#Cc1cccc2ccccc12,316.0,4.13,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_109
C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,347.0,4.65,0.85,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_110
CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,375.0,,0.35,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_112
CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,398.0,,0.32,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_113
N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,350.0,,0.55,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_114
CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,350.0,,0.12,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_115
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,343.0,4.439332694,0.55,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_123
ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,343.0,4.760874638,0.7,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_124
ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,343.0,4.607883744,0.76,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_125
c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,343.0,4.897077003,0.82,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_126
c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,343.0,5.189770956,0.89,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_127
c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,343.0,5.551498792,0.92,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_128
COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,374.0,4.37,0.38,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_135
O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,357.0,4.02,0.02,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_137
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,372.0,4.29,0.13,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_138
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,353.0,4.17,0.38,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_139
O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,362.0,3.73,0.44,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_140
O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,394.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_164
Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])c(OCCOc2cc3cc(-c4ncc(C(=O)[O-])o4)oc3cc2N(CC(=O)[O-])CC(=O)[O-])c1,362.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_169
Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])cc1OCCOc1cc(-c2cc3ccc(C(=O)[O-])cc3[nH]2)ccc1N(CC(=O)[O-])CC(=O)[O-],349.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_170
COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2nc(COc3cc(C)ccc3N(CC(=O)[O-])CC(=O)[O-])ccc2c1,356.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_172
COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2ncccc2c1,353.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_173
COc1cc2cc(-c3ccc(C(=O)OCOC(C)=O)cc3C(=O)OCOC(C)=O)oc2cc1N1CCOCCOCCN(c2cc3oc(-c4ccc(C(=O)OCOC(C)=O)cc4C(=O)OCOC(C)=O)cc3cc2OC)CCOCCOCC1,350.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_175
NC(=O)C1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)C[C@@H]3O)O2)C=CC1,350.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_187
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,275.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_188
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,280.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_189
c1ccc2[nH]ccc2c1,290.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_190
Nc1ncc2nc[nH]c2n1,290.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_191
N[C@@H](Cc1ccc(O)cc1)C(=O)O,285.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_192
Nc1ccccc1C(=O)O,290.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_193
c1ccc2cc3ccccc3cc2c1,355.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_194
N#Cc1cccc2[nH]ccc12,305.0,3.903089987,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_215
N#Cc1ccc2[nH]ccc2c1,275.0,3.740362689,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_216
N#Cc1ccc2cc[nH]c2c1,285.0,4.017033339,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_217
N#Cc1cccc2cc[nH]c12,308.0,3.903089987,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_218
N#Cc1cc2ccccc2[nH]1,281.595092,4.482860169,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_225
N#Cc1c[nH]c2ccccc12,277.3006135,4.118778428,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_226
O=c1c2ccccc2sc2ccccc12,380.0,3.819543936,0.012,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_295
CC/C=C/C=C/C=C/C=C/CCCCCCCC(=O)O,313.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_329
CC/C=C\C=C\C=C\C=C/CCCCCCCC(=O)O,318.6,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_338
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,368.0,,0.0024,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_347
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,395.0,,0.0086,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_354
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,360.0,,0.78,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_410
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,383.0,,0.023,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_414
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,393.0,,0.4,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_418
CCCCCCN1C(=O)c2cccc3c(-c4cc5ccccc5s4)ccc(c23)C1=O,378.0,4.327,0.28,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_499
CCCCCCN1C(=O)c2cccc3c(-c4cccs4)ccc(c23)C1=O,371.0,4.155,0.24,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_500
CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c7c(cccc57)C(=O)N(CCCCCC)C6=O)s4)ccc(c23)C1=O,395.0,4.344,0.15,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_501
CCCCCCN1C(=O)c2cccc3c(-c4scc5c4OCCO5)ccc(c23)C1=O,390.0,3.975,0.61,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_502
CCCCCCN1C(=O)c2cccc3c(-c4ccc(C)s4)ccc(c23)C1=O,385.0,4.196,0.78,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_504
CCCCCCN1C(=O)c2cccc3c(-c4ccc(Cl)s4)ccc(c23)C1=O,374.0,4.556,0.18,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_506
CCCCCCN1C(=O)c2cccc3c(-c4ccc([N+](=O)[O-])s4)ccc(c23)C1=O,363.0,3.796,0.0,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_507
Clc1nc(Cl)nc(Nc2ccc3cc4ccccc4cc3c2)n1,395.0,,0.0,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_510
COc1nc(Cl)nc(Nc2ccc3cc4ccccc4cc3c2)n1,396.0,,0.25,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_511
COc1nc(Nc2ccc3cc4ccccc4cc3c2)nc(OC)n1,398.0,,0.39,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_512
Clc1nc(Nc2ccccc2)nc(Nc2ccc3cc4ccccc4cc3c2)n1,398.0,,0.35,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_513
Nc1ccc2ccc3cccc4ccc1c2c34,361.0,,0.61,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_530
Nc1cc2ccc3cccc4ccc(c1)c2c34,338.0,,0.19,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_533
CC(=O)Nc1ccc2ccc3cccc4ccc1c2c34,341.0,,0.27,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_536
CC(=O)Nc1cc2ccc3cccc4ccc(c1)c2c34,336.0,,0.1,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_539
Clc1nc(Cl)nc(Nc2ccc3ccc4cccc5ccc2c3c45)n1,341.0,,0.0,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_542
Clc1nc(Cl)nc(Nc2cc3ccc4cccc5ccc(c2)c3c45)n1,336.0,,0.06,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_545
COc1nc(Nc2ccc3ccc4cccc5ccc2c3c45)nc(OC)n1,341.0,,0.57,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_548
COc1nc(Nc2cc3ccc4cccc5ccc(c2)c3c45)nc(OC)n1,336.0,,0.15,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_551
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4ccc5cccc6ccc3c4c56)n2)cc1,342.0,,0.61,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_554
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3cc4ccc5cccc6ccc(c3)c4c56)n2)cc1,336.0,,0.21,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_557
O=c1oc2ccccc2cc1-c1cccc(-c2cc3ccccc3oc2=O)c1,330.0,4.437750563,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_570
COc1ccc2cc(-c3cccc(-c4cc5ccc(OC)cc5oc4=O)c3)c(=O)oc2c1,344.0,4.650307523,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_571
COc1cc(OC)c2cc(-c3cccc(-c4cc5c(OC)cc(OC)cc5oc4=O)c3)c(=O)oc2c1,352.0,4.643452676,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_572
O=c1oc2ccccc2cc1-c1ccc(-c2cc3ccccc3oc2=O)cc1,346.0,4.562292864,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_573
COc1ccc2cc(-c3ccc(-c4cc5ccc(OC)cc5oc4=O)cc3)c(=O)oc2c1,362.0,4.698970004,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_574
COc1cc(OC)c2cc(-c3ccc(-c4cc5c(OC)cc(OC)cc5oc4=O)cc3)c(=O)oc2c1,372.0,4.598790507,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_575
N#CCc1ccccc1-c1cc2ccccc2oc1=O,318.0,4.222716471,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_576
COc1ccc2cc(-c3ccccc3CC#N)c(=O)oc2c1,336.0,4.294466226,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_577
COc1cc(OC)c2cc(-c3ccccc3CC#N)c(=O)oc2c1,342.0,4.36361198,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_578
CN(C)c1ccc(-c2c(/C=C3/C=Cc4ccccc4N3C)c(=O)c2=O)cc1,358.0,,0.0301,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_605
CCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,359.0,,0.0276,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_608
CCCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,358.0,,0.0262,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_611
CCCCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,357.0,,0.0242,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_614
CN(C)c1ccc(-c2c(/C=C3/C=Cc4ccccc4N3Cc3ccccc3)c(=O)c2=O)cc1,358.0,,0.0146,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_617
Cc1nc(-c2ccccc2O)n2c1CCCC2,314.0,5.353723938,0.63,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_620
Cc1ccc(O)c(-c2nc(C)c3n2CCCC3)c1,321.0,5.286119503,0.43,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_621
COc1ccc(O)c(-c2nc(C)c3n2CCCC3)c1,332.0,5.025555718,0.11,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_622
Cc1nc(-c2cc(F)ccc2O)n2c1CCCC2,326.0,5.370235437,0.72,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_623
Cc1nc(-c2cc(C(F)(F)F)ccc2O)n2c1CCCC2,316.0,5.232487866,0.61,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_624
Cc1nc(-c2cc(N)ccc2O)n2c1CCCC2,344.0,5.016197354,0.001,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_625
CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C#N,368.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_661
CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C=O,385.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_669
F[B-]1(F)OC(/C=C/c2ccccc2)=CC(c2ccccc2)=[O+]1,398.0,4.731991449,0.02,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_765
CCCCn1c(-c2ccc(-c3nnc(-c4ccccc4)o3)cc2)nc(-c2ccccc2)c1-c1ccccc1,339.0,4.43,0.21,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_789
CCCCn1c(-c2ccc(-c3nnc(-c4ccc5ccccc5c4)o3)cc2)nc(-c2ccccc2)c1-c1ccccc1,340.0,4.42,0.62,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_790
CCCCn1c(-c2ccc(-c3nnc(-c4cccs4)o3)cc2)nc(-c2ccccc2)c1-c1ccccc1,340.0,4.5,0.33,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_791
CCCCn1c(-c2ccc(-c3nnc(-c4ccccc4)o3)cc2)nc2c3ccccc3c3ccccc3c21,363.0,1.43,0.61,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_792
CCCCn1c(-c2ccc(-c3nnc(-c4ccc5ccccc5c4)o3)cc2)nc2c3ccccc3c3ccccc3c21,363.0,4.41,0.75,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_793
CCCCn1c(-c2ccc(-c3nnc(-c4cccs4)o3)cc2)nc2c3ccccc3c3ccccc3c21,363.0,4.36,0.62,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_794
CCCCn1c(-c2ccc(-c3nnc(-c4ccc(-c5nc6ccccc6n5CCCC)cc4)o3)cc2)nc2ccccc21,331.0,4.71,0.63,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_795
CCCCn1c(-c2ccc(-c3nnc(-c4ccc(-c5nc(-c6ccccc6)c(-c6ccccc6)n5CCCC)cc4)o3)cc2)nc(-c2ccccc2)c1-c1ccccc1,352.0,4.57,0.69,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_796
CCCCn1c(-c2ccc(-c3nnc(-c4ccc(-c5nc6c7ccccc7c7ccccc7c6n5CCCC)cc4)o3)cc2)nc2c3ccccc3c3ccccc3c21,366.0,4.67,0.78,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_797
CN(C)c1ccc(/C=C/c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,386.0,,0.195,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_798
COc1ccc2c3c(OC)c4ccccc4c(OC)c3n(C)c2c1,392.0,3.77815125,0.35,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_825
COc1c2ccccc2c(OC)c2c1c1ccc(F)cc1n2C,395.0,3.62324929,0.36,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_845
COc1ccc2c(-c3nc(-c4ccccc4)no3)cc(=O)oc2c1,345.0,,0.25,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_857
COc1ccc2c(-c3nc(-c4cccc(Br)c4)no3)cc(=O)oc2c1,360.0,,0.33,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_858
COc1ccc2c(-c3nc(-c4ccccc4F)no3)cc(=O)oc2c1,339.0,,0.25,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_859
COc1ccc2c(-c3nc(-c4ccccc4Cl)no3)cc(=O)oc2c1,355.0,,0.19,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_860
CCOc1ccc2c(-c3nc(-c4ccccc4)no3)cc(=O)oc2c1,392.0,,0.31,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_862
CCOc1ccc2c(-c3nc(-c4ccccc4F)no3)cc(=O)oc2c1,393.0,,0.36,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_864
CCOc1ccc2c(-c3nc(-c4ccccc4Cl)no3)cc(=O)oc2c1,394.0,,0.26,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_865
CCOc1ccc2c(-c3nc(-c4cccc(C)c4)no3)cc(=O)oc2c1,322.0,,0.23,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_866
CCOc1ccc2c(-c3nc(-c4cccc(Br)c4)no3)cc(=O)oc2c1,388.0,,0.52,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_873
[O-][n+]1c(/C=C/c2ccccc2)nc(N2CCOCC2)c2c1CCCC2,400.0,3.643452676,0.21,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_877
Cc1cccc(C)c1/C=C/c1nc(N2CCOCC2)c2c([n+]1[O-])CCCC2,384.0,3.716003344,0.29,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_878
COc1ccc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc1,391.0,3.799340549,0.12,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_880
