SMILES,lambda_max,delta_h,pss_z,k_thermal,system_type,source_id,calc_method,compound_name,canonical_smiles
CCOC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2,333.0,77.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_68,CCOC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2
CC(=O)C1=C(c2ccccc2)C2C=CC1C2,335.0,71.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_69,CC(=O)C1=C(c2ccccc2)C2C=CC1C2
CC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,335.0,68.27,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_70,CC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C
CC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2,335.0,40.91,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_71,CC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2
FC(F)(F)C1=C(c2ccccc2)C2C=CC1C2,320.0,134.25,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_72,FC(F)(F)C1=C(c2ccccc2)C2C=CC1C2
CC1(C)C2C=CC1C(C(F)(F)F)=C2c1ccccc1,320.0,68.1,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_73,CC1(C)C2C=CC1C(C(F)(F)F)=C2c1ccccc1
CC1=CC2(C)CC1C(C(F)(F)F)=C2c1ccccc1,320.0,125.61,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_74,CC1=CC2(C)CC1C(C(F)(F)F)=C2c1ccccc1
CS(=O)(=O)C1=C(c2ccccc2)C2C=CC1C2,325.0,140.25,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_75,CS(=O)(=O)C1=C(c2ccccc2)C2C=CC1C2
CC1(C)C2C=CC1C(S(C)(=O)=O)=C2c1ccccc1,325.0,105.01,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_76,CC1(C)C2C=CC1C(S(C)(=O)=O)=C2c1ccccc1
CC1=CC2(C)CC1C(S(C)(=O)=O)=C2c1ccccc1,325.0,81.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_77,CC1=CC2(C)CC1C(S(C)(=O)=O)=C2c1ccccc1
NC(=O)C1=C(c2ccccc2)C2C=CC1C2,329.0,72.91,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_78,NC(=O)C1=C(c2ccccc2)C2C=CC1C2
CC1(C)C2C=CC1C(c1ccccc1)=C2C(N)=O,329.0,68.45,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_79,CC1(C)C2C=CC1C(c1ccccc1)=C2C(N)=O
CC1=CC2(C)CC1C(C(N)=O)=C2c1ccccc1,329.0,67.83,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_80,CC1=CC2(C)CC1C(C(N)=O)=C2c1ccccc1
O=C(O)C1=C(c2ccccc2)C2C=CC1C2,330.0,70.98,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_99,O=C(O)C1=C(c2ccccc2)C2C=CC1C2
CC1(C)C2C=CC1C(c1ccccc1)=C2C(=O)O,330.0,77.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_100,CC1(C)C2C=CC1C(c1ccccc1)=C2C(=O)O
CC1=CC2(C)CC1C(C(=O)O)=C2c1ccccc1,330.0,64.03,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_101,CC1=CC2(C)CC1C(C(=O)O)=C2c1ccccc1
CCCCC(CC)COC(=O)C1=C(c2ccccc2)C2C=CC1C2,335.0,58.35,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_102,CCCCC(CC)COC(=O)C1=C(c2ccccc2)C2C=CC1C2
CCCCC(CC)COC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,335.0,79.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_103,CCCCC(CC)COC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C
CCCCC(CC)COC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2,335.0,44.36,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_104,CCCCC(CC)COC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2
CC(C)OC(=O)C1=C(c2ccccc2)C2C=CC1C2,333.0,69.95,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_108,CC(C)OC(=O)C1=C(c2ccccc2)C2C=CC1C2
CC(C)OC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,333.0,72.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_109,CC(C)OC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C
CC1=CC2(C)CC1C(C(=O)OC(C)C)=C2c1ccccc1,333.0,65.05,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_110,CC1=CC2(C)CC1C(C(=O)OC(C)C)=C2c1ccccc1
CCNC(=O)C1=C(c2ccccc2)C2C=CC1C2,331.0,77.53,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_117,CCNC(=O)C1=C(c2ccccc2)C2C=CC1C2
CCNC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,331.0,82.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_118,CCNC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C
CCNC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2,331.0,36.28,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_119,CCNC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2
COc1ccc(C2=C(C#N)C3C=CC2C3)cc1,352.0,65.39,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_120,COc1ccc(C2=C(C#N)C3C=CC2C3)cc1
COc1ccc(C2=C(C#N)C3C=CC2C3(C)C)cc1,352.0,66.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_121,COc1ccc(C2=C(C#N)C3C=CC2C3(C)C)cc1
COc1ccc(C2=C(C#N)C3CC2(C)C=C3C)cc1,352.0,58.62,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_122,COc1ccc(C2=C(C#N)C3CC2(C)C=C3C)cc1
COC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2,355.0,65.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_123,COC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2
COC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2(C)C,355.0,68.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_124,COC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2(C)C
COC(=O)C1=C(c2ccc(OC)cc2)C2(C)C=C(C)C1C2,355.0,62.35,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_125,COC(=O)C1=C(c2ccc(OC)cc2)C2(C)C=C(C)C1C2
CCOC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2,355.0,68.6,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_126,CCOC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2
CCOC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2(C)C,355.0,69.43,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_127,CCOC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2(C)C
CCOC(=O)C1=C(c2ccc(OC)cc2)C2(C)C=C(C)C1C2,355.0,57.1,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_128,CCOC(=O)C1=C(c2ccc(OC)cc2)C2(C)C=C(C)C1C2
COc1ccc(C2=C(C(C)=O)C3C=CC2C3)cc1,357.0,32.96,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_129,COc1ccc(C2=C(C(C)=O)C3C=CC2C3)cc1
COc1ccc(C2=C(C(C)=O)C3C=CC2C3(C)C)cc1,357.0,69.37,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_130,COc1ccc(C2=C(C(C)=O)C3C=CC2C3(C)C)cc1
COc1ccc(C2=C(C(C)=O)C3CC2(C)C=C3C)cc1,357.0,67.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_131,COc1ccc(C2=C(C(C)=O)C3CC2(C)C=C3C)cc1
COc1ccc(C2=C(C(F)(F)F)C3C=CC2C3)cc1,342.0,134.05,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_132,COc1ccc(C2=C(C(F)(F)F)C3C=CC2C3)cc1
COc1ccc(C2=C(C(F)(F)F)C3C=CC2C3(C)C)cc1,342.0,66.89,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_133,COc1ccc(C2=C(C(F)(F)F)C3C=CC2C3(C)C)cc1
COc1ccc(C2=C(C(F)(F)F)C3CC2(C)C=C3C)cc1,342.0,127.08,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_134,COc1ccc(C2=C(C(F)(F)F)C3CC2(C)C=C3C)cc1
COc1ccc(C2=C(S(C)(=O)=O)C3C=CC2C3)cc1,347.0,62.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_135,COc1ccc(C2=C(S(C)(=O)=O)C3C=CC2C3)cc1
COc1ccc(C2=C(S(C)(=O)=O)C3C=CC2C3(C)C)cc1,347.0,84.79,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_136,COc1ccc(C2=C(S(C)(=O)=O)C3C=CC2C3(C)C)cc1
COc1ccc(C2=C(S(C)(=O)=O)C3CC2(C)C=C3C)cc1,347.0,67.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_137,COc1ccc(C2=C(S(C)(=O)=O)C3CC2(C)C=C3C)cc1
COc1ccc(C2=C(C(N)=O)C3C=CC2C3)cc1,351.0,54.34,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_138,COc1ccc(C2=C(C(N)=O)C3C=CC2C3)cc1
COc1ccc(C2=C(C(N)=O)C3C=CC2C3(C)C)cc1,351.0,72.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_139,COc1ccc(C2=C(C(N)=O)C3C=CC2C3(C)C)cc1
COc1ccc(C2=C(C(N)=O)C3CC2(C)C=C3C)cc1,351.0,69.92,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_140,COc1ccc(C2=C(C(N)=O)C3CC2(C)C=C3C)cc1
COc1ccc(C2=C(C(=O)O)C3C=CC2C3)cc1,352.0,69.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_159,COc1ccc(C2=C(C(=O)O)C3C=CC2C3)cc1
COc1ccc(C2=C(C(=O)O)C3C=CC2C3(C)C)cc1,352.0,63.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_160,COc1ccc(C2=C(C(=O)O)C3C=CC2C3(C)C)cc1
COc1ccc(C2=C(C(=O)O)C3CC2(C)C=C3C)cc1,352.0,65.93,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_161,COc1ccc(C2=C(C(=O)O)C3CC2(C)C=C3C)cc1
CCCCC(CC)COC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2,357.0,72.62,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_162,CCCCC(CC)COC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2
CCCCC(CC)COC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2(C)C,357.0,69.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_163,CCCCC(CC)COC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2(C)C
CCCCC(CC)COC(=O)C1=C(c2ccc(OC)cc2)C2(C)C=C(C)C1C2,357.0,72.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_164,CCCCC(CC)COC(=O)C1=C(c2ccc(OC)cc2)C2(C)C=C(C)C1C2
COc1ccc(C2=C(C(=O)OC(C)C)C3C=CC2C3)cc1,355.0,65.14,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_168,COc1ccc(C2=C(C(=O)OC(C)C)C3C=CC2C3)cc1
COc1ccc(C2=C(C(=O)OC(C)C)C3C=CC2C3(C)C)cc1,355.0,69.43,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_169,COc1ccc(C2=C(C(=O)OC(C)C)C3C=CC2C3(C)C)cc1
COc1ccc(C2=C(C(=O)OC(C)C)C3CC2(C)C=C3C)cc1,355.0,55.34,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_170,COc1ccc(C2=C(C(=O)OC(C)C)C3CC2(C)C=C3C)cc1
CCNC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2,353.0,73.78,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_177,CCNC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2
CCNC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2(C)C,353.0,69.49,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_178,CCNC(=O)C1=C(c2ccc(OC)cc2)C2C=CC1C2(C)C
CCNC(=O)C1=C(c2ccc(OC)cc2)C2(C)C=C(C)C1C2,353.0,47.01,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_179,CCNC(=O)C1=C(c2ccc(OC)cc2)C2(C)C=C(C)C1C2
CN(C)c1ccc(C2=C(C#N)C3C=CC2C3)cc1,375.0,64.6,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_180,CN(C)c1ccc(C2=C(C#N)C3C=CC2C3)cc1
CN(C)c1ccc(C2=C(C#N)C3C=CC2C3(C)C)cc1,375.0,61.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_181,CN(C)c1ccc(C2=C(C#N)C3C=CC2C3(C)C)cc1
CC1=CC2(C)CC1C(C#N)=C2c1ccc(N(C)C)cc1,375.0,54.44,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_182,CC1=CC2(C)CC1C(C#N)=C2c1ccc(N(C)C)cc1
COC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2,378.0,66.59,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_183,COC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2
COC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2(C)C,378.0,70.58,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_184,COC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2(C)C
COC(=O)C1=C(c2ccc(N(C)C)cc2)C2(C)C=C(C)C1C2,378.0,62.19,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_185,COC(=O)C1=C(c2ccc(N(C)C)cc2)C2(C)C=C(C)C1C2
CCOC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2,378.0,67.32,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_186,CCOC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2
CCOC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2(C)C,378.0,73.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_187,CCOC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2(C)C
CCOC(=O)C1=C(c2ccc(N(C)C)cc2)C2(C)C=C(C)C1C2,378.0,51.49,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_188,CCOC(=O)C1=C(c2ccc(N(C)C)cc2)C2(C)C=C(C)C1C2
CC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2,380.0,73.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_189,CC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2
CC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2(C)C,380.0,71.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_190,CC(=O)C1=C(c2ccc(N(C)C)cc2)C2C=CC1C2(C)C
CC(=O)C1=C(c2ccc(N(C)C)cc2)C2(C)C=C(C)C1C2,380.0,65.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_191,CC(=O)C1=C(c2ccc(N(C)C)cc2)C2(C)C=C(C)C1C2
CN(C)c1ccc(C2=C(C(F)(F)F)C3C=CC2C3)cc1,365.0,133.6,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_192,CN(C)c1ccc(C2=C(C(F)(F)F)C3C=CC2C3)cc1
CN(C)c1ccc(C2=C(C(F)(F)F)C3C=CC2C3(C)C)cc1,365.0,68.62,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_193,CN(C)c1ccc(C2=C(C(F)(F)F)C3C=CC2C3(C)C)cc1
CC1=CC2(C)CC1C(C(F)(F)F)=C2c1ccc(N(C)C)cc1,365.0,127.2,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_194,CC1=CC2(C)CC1C(C(F)(F)F)=C2c1ccc(N(C)C)cc1
CN(C)c1ccc(C2=C(S(C)(=O)=O)C3C=CC2C3)cc1,370.0,59.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_195,CN(C)c1ccc(C2=C(S(C)(=O)=O)C3C=CC2C3)cc1
CN(C)c1ccc(C2=C(S(C)(=O)=O)C3C=CC2C3(C)C)cc1,370.0,59.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_196,CN(C)c1ccc(C2=C(S(C)(=O)=O)C3C=CC2C3(C)C)cc1
