SMILES,lambda_max,log_eps,quantum_yield,system_type,source_id,calc_method,compound_name,canonical_smiles
CCCCC(CC)COC(=O)/C=C\c1ccc(OC)c(OC)c1OC,303.0,4.149219113,0.01,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3405,CCCCC(CC)COC(=O)/C=C\c1ccc(OC)c(OC)c1OC
CCCCC(CC)COC(=O)/C=C/c1ccccc1OC,320.0,4.298853076,0.01,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3411,CCCCC(CC)COC(=O)/C=C/c1ccccc1OC
CCCCC(CC)COC(=O)/C=C\c1ccccc1OC,305.0,4.029383778,0.01,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3413,CCCCC(CC)COC(=O)/C=C\c1ccccc1OC
O=C([O-])c1ccccc1O,296.0,,0.16,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3708,O=C([O-])c1ccccc1O
Cc1ccc(C(=O)[O-])c(O)c1,295.0,,0.11,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3709,Cc1ccc(C(=O)[O-])c(O)c1
COc1ccc(C(=O)[O-])c(O)c1,292.0,,0.042,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3710,COc1ccc(C(=O)[O-])c(O)c1
Nc1ccc(C(=O)[O-])c(O)c1,298.0,,0.014,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3711,Nc1ccc(C(=O)[O-])c(O)c1
Cc1ccc(O)c(C(=O)[O-])c1,305.0,,0.16,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3712,Cc1ccc(O)c(C(=O)[O-])c1
COc1ccc(O)c(C(=O)[O-])c1,319.0,,0.19,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3713,COc1ccc(O)c(C(=O)[O-])c1
Nc1ccc(O)c(C(=O)[O-])c1,331.0,,0.03,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3714,Nc1ccc(O)c(C(=O)[O-])c1
c1ccccc1,252.5252525,,0.14,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4460,c1ccccc1
Cc1ccccc1,256.4760195,,0.22,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4461,Cc1ccccc1
Cc1ccccc1C,258.2644628,,0.26,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4462,Cc1ccccc1C
Cc1cccc(C)c1,259.7402597,,0.25,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4463,Cc1cccc(C)c1
Cc1ccc(C)cc1,262.8811777,,0.39,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4464,Cc1ccc(C)cc1
Cc1ccc(C)c(C)c1,263.7826431,,0.41,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4465,Cc1ccc(C)c(C)c1
Cc1cc(C)cc(C)c1,261.5746796,,0.27,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4466,Cc1cc(C)cc(C)c1
Oc1ccccc1,265.9574468,,0.09,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4467,Oc1ccccc1
Nc1ccccc1,283.1257078,,0.1,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4468,Nc1ccccc1
COc1ccccc1,267.2367718,,0.36,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4469,COc1ccccc1
CN(C)c1ccccc1,293.9447384,,0.12,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4470,CN(C)c1ccccc1
COc1ccc(OC)cc1,286.2049227,,0.22,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4471,COc1ccc(OC)cc1
CN(C)c1ccc(N(C)C)cc1,326.2642741,,0.21,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4472,CN(C)c1ccc(N(C)C)cc1
CN(C)c1cc(C#N)c(N(C)C)c(C#N)c1,379.3626707,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4776,CN(C)c1cc(C#N)c(N(C)C)c(C#N)c1
CCOC(=O)/C=C/c1ccc(N(C)C)cc1,353.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4958,CCOC(=O)/C=C/c1ccc(N(C)C)cc1
CN(C)c1ccc(/C=C/C(=O)O)cc1,358.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_4972,CN(C)c1ccc(/C=C/C(=O)O)cc1
COC(=O)/C=C/C=C/c1ccc(N(C)C)cc1,375.0,,0.00547,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_5544,COC(=O)/C=C/C=C/c1ccc(N(C)C)cc1
CNc1ccc(/C=C/C#N)cc1,340.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_5874,CNc1ccc(/C=C/C#N)cc1
C=Cc1ccc(OC)cc1,302.0,3.176091259,0.33,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_8092,C=Cc1ccc(OC)cc1
C=Cc1cccc(OC)c1,295.0,3.361727836,0.32,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_8094,C=Cc1cccc(OC)c1
C=Cc1cc(OC)cc(OC)c1,299.0,3.301029996,0.12,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_8096,C=Cc1cc(OC)cc(OC)c1
C=Cc1ccc(OC)c(OC)c1,309.0,3.51851394,0.32,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_8098,C=Cc1ccc(OC)c(OC)c1
C/C=C/c1ccc(OC)cc1,305.0,3.079181246,0.35,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_8100,C/C=C/c1ccc(OC)cc1
C/C=C/c1cccc(OC)c1,293.0,3.380211242,0.31,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_8102,C/C=C/c1cccc(OC)c1
C/C=C/c1cc(OC)cc(OC)c1,296.0,3.278753601,0.04,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_8104,C/C=C/c1cc(OC)cc(OC)c1
C/C=C/c1ccc(OC)c(OC)c1,308.0,3.505149978,0.35,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_8106,C/C=C/c1ccc(OC)c(OC)c1
N#Cc1ccc(C[C@H](N)C(=O)O)cc1,236.8079946,,0.031,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_10327,N#Cc1ccc(C[C@H](N)C(=O)O)cc1
CC(=O)Nc1ccc(O)cc1,293.0,,0.0031,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_11046,CC(=O)Nc1ccc(O)cc1
N#Cc1cccc(N)c1,309.1905052,,0.16,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_11143,N#Cc1cccc(N)c1
CN(C)c1cccc(C#N)c1,330.4387569,,0.11,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_11144,CN(C)c1cccc(C#N)c1
CCOC(=O)c1cccc(N)c1,315.0485437,,0.11,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_11145,CCOC(=O)c1cccc(N)c1
CCOC(=O)c1cccc(N(C)C)c1,334.6153846,,0.2,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_11146,CCOC(=O)c1cccc(N(C)C)c1
N#Cc1ccc(N)cc1,260.9860012,,0.09,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_11147,N#Cc1ccc(N)cc1
CN(C)c1ccc(C#N)cc1,280.2559415,,0.11,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_11148,CN(C)c1ccc(C#N)cc1
CCOC(=O)c1ccc(N)cc1,269.6601942,,0.08,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_11149,CCOC(=O)c1ccc(N)cc1
CCOC(=O)c1ccc(N(C)C)cc1,298.6263736,,0.22,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_11150,CCOC(=O)c1ccc(N(C)C)cc1
CNc1ccc(/C=C/C(=O)OC)cc1,347.28,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_11900,CNc1ccc(/C=C/C(=O)OC)cc1
N#Cc1ccccc1N,314.0,,0.1,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_13545,N#Cc1ccccc1N
N#Cc1ccc(N)cc1C#N,316.0,,0.03,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_13558,N#Cc1ccc(N)cc1C#N
N#Cc1cc(N)cc(C#N)c1,325.0,,0.05,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_13562,N#Cc1cc(N)cc(C#N)c1
N#Cc1cccc(N)c1C#N,334.0,,0.1,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_13566,N#Cc1cccc(N)c1C#N
N#Cc1ccc(N)c(C#N)c1,325.0,,0.1,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_13570,N#Cc1ccc(N)c(C#N)c1
N#Cc1ccc(C#N)c(N)c1,335.0,,0.15,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_13574,N#Cc1ccc(C#N)c(N)c1
N#Cc1cccc(C#N)c1N,332.0,,0.17,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_13578,N#Cc1cccc(C#N)c1N
O=[N+]([O-])c1cccc(O)c1,328.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_16975,O=[N+]([O-])c1cccc(O)c1
O=[N+]([O-])c1ccccc1O,338.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_16983,O=[N+]([O-])c1ccccc1O
O=[N+]([O-])c1ccc(O)cc1,309.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_16985,O=[N+]([O-])c1ccc(O)cc1
O=[N+]([O-])c1ccc(O)c(O)c1,346.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_16986,O=[N+]([O-])c1ccc(O)c(O)c1
CCN(CC)c1ccc(OC)c(C=O)c1,400.0,3.440909082,0.38,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_17871,CCN(CC)c1ccc(OC)c(C=O)c1
CCN(CC)c1cccc(C=O)c1,367.0,3.301029996,0.44,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_17879,CCN(CC)c1cccc(C=O)c1
COc1ccc(OC)c(C=O)c1,352.0,,0.01,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18047,COc1ccc(OC)c(C=O)c1
O=Cc1cc(O)ccc1O,362.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18049,O=Cc1cc(O)ccc1O
COc1ccc(O)c(C=O)c1,364.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18051,COc1ccc(O)c(C=O)c1
COc1ccc(O)cc1C=O,349.0,,0.01,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18053,COc1ccc(O)cc1C=O
COc1ccc(OC)c(C(C)=O)c1,334.0,,0.1,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18055,COc1ccc(OC)c(C(C)=O)c1
COc1ccc(OC)c(C(=O)O)c1,314.0,,0.24,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18056,COc1ccc(OC)c(C(=O)O)c1
COC(=O)c1cc(OC)ccc1OC,318.0,,0.64,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18057,COC(=O)c1cc(OC)ccc1OC
COCCOCCOCCOCCOc1ccc(OCCOCCOCCOCCOC)c(C=O)c1,351.0,,0.11,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18058,COCCOCCOCCOCCOc1ccc(OCCOCCOCCOCCOC)c(C=O)c1
COCCOCCOCCOCCOc1cc(C=O)c(OCCOCCOCCOCCOC)cc1C=O,394.0,,0.55,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18069,COCCOCCOCCOCCOc1cc(C=O)c(OCCOCCOCCOCCOC)cc1C=O
COCCOc1ccc(OCCOC)c(C=O)c1,349.0,,0.11,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18102,COCCOc1ccc(OCCOC)c(C=O)c1
COCCOCCOc1ccc(OCCOCCOC)c(C=O)c1,350.0,,0.1,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18113,COCCOCCOc1ccc(OCCOCCOC)c(C=O)c1
COCCOCCOCCOc1ccc(OCCOCCOCCOC)c(C=O)c1,350.0,,0.11,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18124,COCCOCCOCCOc1ccc(OCCOCCOCCOC)c(C=O)c1
COCCOc1cc(C=O)c(OCCOC)cc1C=O,391.0,,0.54,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18135,COCCOc1cc(C=O)c(OCCOC)cc1C=O
COCCOCCOc1cc(C=O)c(OCCOCCOC)cc1C=O,396.0,,0.55,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18146,COCCOCCOc1cc(C=O)c(OCCOCCOC)cc1C=O
COCCOCCOCCOc1cc(C=O)c(OCCOCCOCCOC)cc1C=O,394.0,,0.54,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18157,COCCOCCOCCOc1cc(C=O)c(OCCOCCOCCOC)cc1C=O
O=Cc1cc(O)c(C=O)cc1O,384.0,,0.02,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18170,O=Cc1cc(O)c(C=O)cc1O
Nc1ccccc1/C=C/C(F)(F)F,347.0,3.711807229,0.77,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18293,Nc1ccccc1/C=C/C(F)(F)F
N#Cc1ccc(N)c(/C=C/C(F)(F)F)c1,348.0,3.876217841,0.47,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18294,N#Cc1ccc(N)c(/C=C/C(F)(F)F)c1
Cc1ccc(/C=C/C(F)(F)F)c(N)c1,346.0,3.716003344,0.62,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18295,Cc1ccc(/C=C/C(F)(F)F)c(N)c1
COc1ccc(/C=C/C(F)(F)F)c(N)c1,339.0,3.812913357,0.32,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18296,COc1ccc(/C=C/C(F)(F)F)c(N)c1
N#Cc1ccc(/C=C/C(F)(F)F)c(N)c1,367.0,3.828659897,0.82,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18297,N#Cc1ccc(/C=C/C(F)(F)F)c(N)c1
COC(=O)c1ccc(/C=C/C(F)(F)F)c(N)c1,372.0,3.740362689,0.74,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_18298,COC(=O)c1ccc(/C=C/C(F)(F)F)c(N)c1
CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1,310.0,4.3,0.01,Approved_UV_Filter,U01_CosIng_Annex_VI,Regulatory_Monograph,Octinoxate,CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1
CCCCC(CC)COC(=O)c1ccccc1O,310.0,4.3,0.01,Approved_UV_Filter,U01_CosIng_Annex_VI,Regulatory_Monograph,Octisalate,CCCCC(CC)COC(=O)c1ccccc1O
CCOCCOC(=O)/C=C/c1ccc(OC)cc1,310.0,4.3,0.01,Approved_UV_Filter,U01_CosIng_Annex_VI,Regulatory_Monograph,Cinoxate,CCOCCOC(=O)/C=C/c1ccc(OC)cc1
CCCCC(CC)COC(=O)c1ccc(N(C)C)cc1,310.0,4.3,0.01,Approved_UV_Filter,U01_CosIng_Annex_VI,Regulatory_Monograph,Padimate O,CCCCC(CC)COC(=O)c1ccc(N(C)C)cc1
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,342.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_83,CCC(=O)c1ccc2cc(N(C)C)ccc2c1
c1ccc2ccccc2c1,286.0,3.58,0.23,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_97,c1ccc2ccccc2c1
C[Si](C)(C)c1cccc2ccccc12,294.0,3.73,0.3,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_98,C[Si](C)(C)c1cccc2ccccc12
C[SiH](C)c1cccc2ccccc12,294.0,3.75,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_99,C[SiH](C)c1cccc2ccccc12
CCCC[Si](C)(C)c1cccc2ccccc12,294.0,3.74,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_100,CCCC[Si](C)(C)c1cccc2ccccc12
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,295.0,3.78,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_101,CC(C)(C)[Si](C)(C)c1cccc2ccccc12
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,294.0,3.76,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_102,CCCCCCCC[Si](C)(C)c1cccc2ccccc12
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,300.0,3.87,0.33,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_103,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,300.0,3.86,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_104,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,302.0,3.91,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_105,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12
COc1ccc([Si](C)(C)C)c2ccccc12,312.0,3.71,0.65,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_106,COc1ccc([Si](C)(C)C)c2ccccc12
C[Si](C)(C)c1ccc(C#N)c2ccccc12,315.0,3.88,0.66,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_107,C[Si](C)(C)c1ccc(C#N)c2ccccc12
C[Si](C)(C)c1cccc2c(C#N)cccc12,311.0,3.82,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_108,C[Si](C)(C)c1cccc2c(C#N)cccc12
C[Si](C)(C)C#Cc1cccc2ccccc12,316.0,4.13,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_109,C[Si](C)(C)C#Cc1cccc2ccccc12
C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,347.0,4.65,0.85,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_110,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12
CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C#N,368.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_661,CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C#N
CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C=O,385.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_669,CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C=O
Oc1ccc2ccccc2c1,328.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1964,Oc1ccc2ccccc2c1
[O-]c1ccc2ccccc2c1,346.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1965,[O-]c1ccc2ccccc2c1
[NH3+]c1ccc2ccc(O)cc2c1,328.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1966,[NH3+]c1ccc2ccc(O)cc2c1
Nc1ccc2ccc(O)cc2c1,332.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1968,Nc1ccc2ccc(O)cc2c1
Nc1ccc2ccc([O-])cc2c1,342.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1969,Nc1ccc2ccc([O-])cc2c1
COc1ccc2ccc(O)cc2c1,325.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1970,COc1ccc2ccc(O)cc2c1
COc1ccc2ccc([O-])cc2c1,337.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1971,COc1ccc2ccc([O-])cc2c1
CCC/N=C/c1cc2ccc(N(C)C)cc2cc1OC,369.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_2122,CCC/N=C/c1cc2ccc(N(C)C)cc2cc1OC
O=S(=O)([O-])c1ccc2c(O)cc(S(=O)(=O)[O-])cc2c1,295.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_2131,O=S(=O)([O-])c1ccc2c(O)cc(S(=O)(=O)[O-])cc2c1
